REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,33,1,759,2,2,38,2,9,96,2,4,541,1,89,24,1,541,25,2,,,9,1998,2,,,,2,,335.5526
1,33,1,762,2,2,37,3,4,93,2,6,541,1,39,24,1,541,17,1,9,95,,,2,,,,2,,335.5526
1,33,1,764,3,1,26,1,10,95,1,5,981,1,82,24,1,981,11,2,,,10,1997,2,,,,2,,335.5526
1,33,1,764,3,2,38,4,2,96,3,4,541,1,39,12,1,541,46,2,,,2,1997,1,11500,1,,1,6000,335.5526
1,33,1,765,3,2,26,1,2,94,2,6,Z20,4,52,88,1,999,16,2,,,88,8888,1,12000,1,,2,,335.5526
1,33,1,801,3,2,27,1,9,93,1,4,Z20,1,52,6,1,171,38,2,,,88,8888,1,30000,1,,2,,335.5524
1,33,2,949,2,2,32,1,8,95,2,4,Z20,1,82,24,1,541,14,2,,,8,1997,1,4000,1,,2,,719.0327
1,33,2,951,6,2,31,1,4,96,2,6,Z20,6,96,88,1,791,5,2,,,88,8888,2,,,,2,,719.0327
1,33,2,953,3,2,43,1,2,93,1,5,Z20,8,95,88,2,,,2,,,88,8888,1,5000,1,,2,,719.0327
1,33,2,955,1,1,61,3,1,96,2,3,954,3,80,88,1,954,60,2,,,88,8888,1,27000,4,,2,,719.0327
1,33,2,958,3,2,24,1,11,95,2,4,Z20,1,39,24,1,541,11,2,,,11,1997,1,12000,3,,2,,719.0327
1,33,1,807,3,1,32,2,4,95,1,5,219,1,96,12,1,599,31,2,,,4,1997,1,15690,4,,2,,335.5526
1,33,1,808,3,2,48,2,1,95,1,2,412,1,82,24,1,369,39,1,3,96,,,2,,,,2,,335.5526
1,33,1,812,2,2,27,1,1,94,2,4,412,1,39,24,1,541,28,1,4,96,,,2,,,,2,,335.5526
1,33,2,1011,6,2,45,1,5,95,1,6,133,8,18,2,2,,,1,6,95,,,2,,,,2,,719.0318
1,33,1,655,3,1,24,1,10,95,1,5,891,1,50,12,1,382,12,2,,,10,1998,1,84000,1,,2,,335.5526
1,33,1,656,3,1,37,1,4,96,1,6,23,4,15,12,2,,,1,9,96,,,2,,,,2,,335.5526
1,33,1,675,2,2,21,1,1,96,2,4,Z20,1,82,24,1,541,9,2,,,12,1997,1,3000,4,,2,,335.5525
1,33,1,676,2,2,30,3,3,94,2,5,Z20,1,82,26,1,541,42,1,7,94,,,2,,,,2,,335.5525
1,33,1,677,1,1,72,1,8,92,2,1,611,6,36,88,2,,,1,9,93,,,2,,,,2,,335.5525
1,33,1,677,2,2,63,1,8,92,2,1,Z20,6,36,88,2,,,1,9,96,,,2,,,,2,,335.5525
1,33,1,681,6,2,71,5,9,96,3,6,Z40,6,96,12,2,,,2,,,88,8888,2,,,,2,,335.5525
1,33,1,683,2,1,36,4,7,96,2,6,Z90,1,96,9,1,834,54,2,,,5,1997,1,60840,1,,1,7750,335.5525
1,33,2,908,2,2,36,2,5,94,2,5,Z20,1,39,24,1,541,42,2,,,12,1997,1,18000,1,,2,,719.0329
1,33,2,912,2,1,38,2,8,96,2,6,Z90,1,56,12,1,22,25,2,,,4,1997,1,121000,1,,2,,719.0329
1,33,2,880,2,2,34,1,3,92,2,2,Z20,1,82,48,1,541,42,2,,,3,1997,1,35000,1,,2,,719.0346
