RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17_DTRET,RQ18_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_REMSPENT,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0047,004,00160,02,02,2,30,01,112007,2,04,021,1,300,13,1,913,13,1,122008,      ,2,       , ,                    ,2,       ,2,       ,000522.2821,2
01,0048,004,00160,02,02,2,39,01,092009,2,61,234,1,500,27,1,913,00,2,      ,122011,2,       , ,                    ,2,       ,2,       ,000423.4268,1
01,0049,001,00175,04,05,2,36,01,112008,2,04,021,1,400,24,1,913,10,2,      ,112010,1,0060000,4,1060                ,2,       ,2,       ,000450.1128,1
01,0049,001,00175,13,03,1,27,02,012007,1,02,921,1,211,35,1,913,48,2,      ,122009,1,0015000,4,1090                ,2,       ,2,       ,000535.0882,1
01,0050,001,00175,05,03,1,30,01,102008,1,05,023,1,500,88,1,512,11,2,      ,888888,1,0039000,4,1080                ,2,       ,2,       ,000535.0882,1
01,0051,004,00169,01,01,1,60,02,042007,2,03,832,1,400,24,1,913,55,1,042009,      ,2,       , ,                    ,1,0300000,2,       ,000397.7543,1
01,0051,004,00169,81,02,2,60,03,052009,2,02,021,1,400,23,1,913,60,2,      ,042011,1,0060000,1,1100                ,1,0400000,2,       ,000430.4516,1
01,0052,004,00169,02,04,2,71,01,032005,1,05,023,1,400,31,1,223,31,1,102007,      ,2,       , ,                    ,2,       ,2,       ,000358.8854,2
01,0053,004,00181,06,02,2,44,01,122005,2,05,913,2,400,54,1,913,45,2,      ,062010,1,0041000,1,1080                ,2,       ,2,       ,000450.1128, 
01,0054,003,00207,07,03,2,50,02,062009,1,05,021,1,400,22,1,913,56,2,      ,042011,1,0027500,1,1100                ,1,0136000,1,0006000,000414.8884,1
01,0054,003,00207,08,03,2,45,01,022006,1,05,021,1,400,88,1,913,43,2,      ,888888,1,0027500,1,1100                ,2,       ,2,       ,000414.8884,1
