RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGC,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_NCOUNTRY,RQ13_STAY,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20_DTRET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22_DTEXP,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMSPENT,RQ261C_CONSUM,RQ261P_CONSUM,RQ262C_INVEST,RQ262P_INVEST,RQ263C_SAVINGS,RQ263P_SAVINGS,RQ264C_GIFT,RQ264P_GIFT,RQ265C_OTHERS,Q265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RPRRCD,RP6M_IND
03,2886,054,00358,05,08,2,40,02,122016,12,2016,2,7, 9,1,1,400,24,1,91,96,0015000,45,2,      ,  ,    , ,122018,12,2018,1,  38000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000364.7001,    ,1
03,2887,054,00358,04,02,2,31,01,082017,08,2017,2,7, 9,1,1,234,24,1,53,96,0021000,13,2,      ,  ,    , ,082019,08,2019,1,  41900,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000400.7706,    ,1
03,2888,056,00362,07,04,2,30,02,112017,11,2017,1,8,82,1,1,213,36,1,82,26,0030000,57,2,      ,  ,    , ,112020,11,2020,1,  60000,5,107020203010        ,1,070,2,020,3,010, ,   , ,   ,2,       ,2,       ,000404.6998,    ,1
03,2889,055,00363,06,04,2,35,02,012018,01,2018,4,8,82,1,1,213,36,1,82,26,0030000,60,2,      ,  ,    , ,012021,01,2021,1,  60000,1,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000425.9942,    ,1
03,2890,053,00309,07,02,1,56,03,102017,10,2017,2,7,14,1,1,500,24,1,34,56,0050000,57,2,      ,  ,    , ,102019,10,2019,1, 150000,1,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000482.0095,    ,1
03,2891,053,00309,05,09,1,21,01,072018,07,2018,1,7,51,1,1,232,24,1,51,56,0023800,02,2,      ,  ,    , ,072020,07,2020,1,   5000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000585.1800,    ,1
03,2892,053,00309,01,01,1,37,03,042017,04,2017,2,8,83,1,1,233,24,1,51,56,0015000,60,2,      ,  ,    , ,042019,04,2019,1,  60000,5,107020203010        ,1,070,2,020,3,010, ,   , ,   ,2,       ,2,       ,000569.5107,    ,1
03,2893,053,00133,05,03,1,29,02,052018,05,2018,2,6,72,1,1,233,88,1,74,86,0015000,40,2,      ,  ,    , ,888888,88,8888,1,  20000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000596.2885,    ,1
03,2893,053,00133,06,08,2,30,02,052018,05,2018,2,7,33,1,1,233,88,1,33,86,0015000,40,2,      ,  ,    , ,888888,88,8888,1,  30000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000584.3167,    ,1
03,2894,053,00133,03,04,2,27,03,092018,09,2018,1,6,52,1,1,234,07,1,52,55,0022000,28,2,      ,  ,    , ,042019,04,2019,1,  60000,5,1050        4050    ,1,050, ,   , ,   ,4,050, ,   ,2,       ,2,       ,000584.3167,    ,1
