REGN,FILLER,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT,P6M_IND
1,29,2,604,3,2,24,1,2,2002,1,7,21,1,82,88,1,913,8,2,,,88,8888,2,,,2,,2,,396.2952,1
1,29,2,594,3,2,27,1,8,2000,2,4,515,1,87,88,1,913,26,2,,,88,8888,1,45000,1,2,,2,,396.2966,1
1,29,2,597,4,2,43,1,1,2001,2,4,921,1,39,24,1,913,20,2,,,12,2002,1,15000,1,2,,1,1000,396.2966,1
1,29,2,517,1,1,33,4,4,2002,2,6,832,1,21,9,1,834,48,2,,,1,2003,1,80000,1,2,,2,,396.2961,1
1,29,2,529,3,2,25,2,5,2001,1,7,23,6,83,88,1,913,59,2,,,88,8888,1,30000,4,2,,2,,408.3069,
1,29,2,539,2,2,31,2,8,2000,2,6,21,1,39,28,1,913,59,2,,,12,2002,1,10000,1,2,,1,1200,408.3069,1
1,29,2,540,3,2,27,1,2,2000,1,7,235,1,46,88,1,513,32,2,,,88,8888,1,102000,1,2,,1,1000,408.3069,1
1,29,1,353,3,1,30,1,4,1999,1,7,23,1,50,88,1,932,42,2,,,88,8888,1,30000,1,2,,2,,190.8761,1
1,29,1,356,3,2,37,1,12,1998,2,6,21,6,96,88,1,932,46,2,,,88,8888,1,5110,1,2,,2,,190.8761,
1,29,2,450,3,2,34,2,8,2002,4,6,522,1,82,24,1,913,24,2,,,8,2004,1,5000,1,2,,2,,396.2953,1
1,29,2,451,3,2,30,1,3,2002,3,7,21,6,96,88,1,223,7,2,,,88,8888,2,,,2,,2,,396.2953,
1,29,2,454,2,2,28,1,10,2001,2,4,21,1,82,88,1,913,12,2,,,88,8888,1,13000,1,2,,2,,396.2953,1
1,29,1,278,6,1,27,3,5,2001,2,7,611,6,96,9,1,913,48,1,2,2002,,,2,,,2,,2,,190.876,
