REGN,PROV,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT
1,29,1,378,3,2,35,1,7,1999,1,4,23,1,53,29,1,913,26,2,,,12,2001,1,50000,1,2,,2,,174.4328
1,29,1,379,3,1,32,5,7,2001,1,4,23,3,83,88,1,422,47,2,,,88,8888,1,20000,3,1,100000,1,3000,174.4328
1,29,1,381,5,2,19,1,8,2001,1,4,23,3,39,88,1,913,1,2,,,88,8888,1,5000,3,2,,1,2000,174.4328
1,29,2,385,2,2,48,2,5,2000,2,2,21,1,47,24,1,913,60,2,,,5,2002,1,30000,1,2,,2,,378.4599
1,29,2,389,3,2,30,1,10,1999,1,4,21,1,39,1,1,913,1,1,11,1999,,,2,,,2,,2,,378.4599
1,29,2,390,2,2,48,2,4,2001,2,2,21,6,95,88,1,512,24,2,,,88,8888,1,75000,1,1,100000,1,15000,378.4599
1,29,2,395,3,2,45,2,4,2001,2,6,21,1,39,25,1,913,60,2,,,4,2003,1,5000,1,2,,2,,378.4599
1,29,2,395,3,2,26,2,4,2001,1,4,21,1,39,24,1,913,29,2,,,4,2003,2,,,2,,2,,378.4599
1,29,2,399,2,2,48,2,5,2000,2,4,522,1,51,24,1,522,40,2,,,5,2002,1,36000,4,2,,1,1000,378.461
1,29,2,401,3,2,45,1,10,1997,3,1,921,1,81,24,1,913,24,1,10,1999,,,2,,,2,,2,,378.461
1,29,2,407,3,2,24,1,2,1999,1,6,921,1,82,36,1,913,31,2,,,2,2002,1,25000,4,2,,2,,378.461
1,29,2,420,1,1,63,1,5,1998,2,3,23,1,96,48,1,724,40,2,,,5,2002,1,7000,1,2,,1,10000,378.4599
1,29,2,421,4,1,37,1,6,1998,2,6,23,1,81,42,1,522,39,2,,,12,2001,1,60000,1,2,,2,,378.4612
1,29,2,421,3,2,34,4,6,1998,2,7,23,8,81,34,1,235,48,1,4,2001,,,2,,,1,50000,2,,378.4612
1,29,2,431,3,2,43,1,12,2000,1,7,21,1,32,12,1,913,9,2,,,12,2001,1,13000,1,2,,2,,378.4612
1,29,2,434,3,2,30,1,9,2000,1,3,921,3,82,13,1,913,12,2,,,10,2001,1,9500,1,2,,2,,378.4598
1,29,2,434,3,2,28,1,5,2000,1,4,522,3,39,88,1,913,16,2,,,88,8888,1,12000,1,2,,2,,378.4598
1,29,2,435,3,2,40,5,1,2001,1,7,21,1,39,11,1,913,60,2,,,12,2001,1,30000,1,2,,1,11000,378.4598
1,29,2,438,3,1,42,4,9,2000,1,7,23,1,95,12,1,834,60,1,9,2001,,,1,50000,1,1,50000,2,,378.4598
1,29,2,438,3,2,31,1,8,1998,1,7,23,1,81,30,1,913,30,1,2,2001,,,1,15000,1,2,,2,,378.4598
1,29,2,452,2,2,40,2,5,2000,2,6,21,1,82,24,1,913,29,2,,,5,2002,2,,,2,,2,,378.459
1,29,2,457,2,2,46,2,2,1999,2,7,21,1,95,24,1,223,58,1,2,2001,,,1,90000,4,2,,2,,378.4594
1,29,2,460,3,2,29,2,7,2001,2,4,915,1,94,24,1,915,56,2,,,7,2003,1,18000,4,1,80000,1,2000,378.4594
1,29,2,460,3,2,27,1,8,2001,1,4,921,1,94,24,1,512,1,2,,,8,2003,2,,,2,,2,,378.4594
1,29,2,460,3,2,25,1,7,2001,1,4,921,1,94,24,1,512,2,2,,,7,2003,1,5000,4,2,,2,,378.4594
1,29,2,495,4,1,24,2,3,2001,2,4,921,1,50,9,1,834,32,2,,,12,2001,1,55000,1,2,,2,,378.4602
1,29,2,498,2,2,41,1,12,1999,2,2,21,1,47,39,1,913,21,2,,,3,2003,1,35000,1,2,,2,,378.4602
1,29,2,505,1,2,68,3,8,2001,1,7,22,4,18,2,2,,,2,,,10,2001,2,,,2,,2,,378.4602
1,29,2,514,3,1,48,5,1,2001,2,7,23,1,89,11,1,834,48,2,,,12,2001,1,30000,1,2,,2,,378.4602
1,29,2,533,2,1,54,2,99,1997,2,3,23,3,83,88,1,913,59,2,,,88,8888,1,30000,4,2,,2,,389.93
1,29,2,533,3,2,26,2,6,2000,1,5,23,3,83,36,1,913,39,2,,,6,2003,2,,,2,,2,,389.93
1,29,2,560,1,1,39,4,12,2000,2,7,23,1,96,10,1,834,40,2,,,10,2001,1,153000,1,2,,2,,378.4596
1,29,2,561,4,1,38,2,6,2000,2,7,215,1,82,24,1,215,27,2,,,6,2002,1,50000,1,2,,1,11500,378.4596
1,29,2,563,3,1,29,2,7,2000,1,7,921,1,81,24,1,613,39,2,,,7,2002,1,30000,4,2,,2,,378.4596
1,29,2,563,3,2,26,2,10,1999,1,7,921,1,51,24,1,913,33,2,,,10,2001,1,25000,4,2,,2,,378.4596
1,29,2,582,2,1,46,1,7,1999,2,7,611,4,47,36,1,913,26,2,,,7,2002,1,55000,4,2,,2,,378.4603
1,29,2,589,3,2,37,1,4,1998,1,7,21,6,18,88,1,513,41,2,,,88,8888,1,5000,3,2,,2,,378.4602
1,29,2,593,3,2,31,2,9,1999,1,4,913,1,81,18,1,913,42,1,3,2001,,,2,,,2,,2,,378.4602
1,29,2,597,3,2,39,4,1,2001,1,5,21,1,39,88,1,913,60,2,,,88,8888,1,40000,1,2,,2,,378.4602
1,29,2,597,3,2,37,1,1,2001,1,7,21,6,18,88,1,913,8,2,,,88,8888,1,30000,4,2,,1,5000,378.4602
1,29,2,597,3,2,32,1,1,1999,1,7,21,1,39,36,1,913,32,2,,,1,2002,2,,,2,,2,,378.4602
1,29,2,600,1,2,48,2,9,2001,3,4,921,1,94,88,1,913,25,2,,,88,8888,1,8000,4,1,40000,2,,378.4602
1,29,2,602,3,2,34,1,5,2001,2,4,21,1,39,24,1,913,4,2,,,5,2003,2,,,2,,2,,378.4589
1,29,2,603,3,2,23,1,6,1999,1,4,23,1,94,36,1,913,27,2,,,6,2002,2,,,2,,2,,378.4589
1,29,2,608,6,2,50,1,4,1999,1,2,23,6,95,35,2,,,2,,,3,2002,1,10000,4,2,,2,,378.4589
1,29,2,612,5,2,38,1,10,2000,1,6,23,3,83,88,1,913,11,2,,,88,8888,1,3000,3,2,,1,3000,378.4589
1,29,2,618,3,1,32,1,8,1998,1,4,611,1,50,32,1,825,32,1,4,2001,,,2,,,1,153000,2,,419.998
1,29,2,618,3,1,39,1,11,1999,2,6,832,1,81,88,1,832,22,2,,,88,8888,1,30000,4,2,,2,,419.998
1,29,2,619,3,1,25,1,8,1998,1,6,23,1,82,25,1,834,25,1,9,2000,,,2,,,2,,2,,419.998
1,29,2,623,3,2,25,2,4,2001,1,4,825,1,39,24,1,913,46,2,,,4,2003,2,,,1,80000,2,,419.998
1,29,2,624,4,2,28,1,9,2000,2,7,21,1,39,88,1,913,12,2,,,88,8888,1,10000,4,2,,2,,419.998
1,33,1,629,2,2,38,1,10,2000,2,4,21,1,888,36,1,913,11,2,,,10,2003,1,80000,5,2,,1,25000,154.7373
1,33,1,636,1,1,46,5,11,2000,2,7,21,1,52,9,1,834,50,1,9,2001,,,1,90000,1,1,51000,2,,154.7373
1,33,1,641,2,2,53,4,12,2000,2,6,21,1,82,24,1,913,59,2,,,12,2002,1,24000,4,2,,2,,154.7373
1,33,1,658,3,2,26,2,9,2001,1,7,413,1,888,99,1,223,12,2,,,99,9999,2,,,2,,2,,168.8045
1,33,1,679,3,2,37,1,12,2000,1,7,422,4,96,36,1,513,9,2,,,12,2003,2,,,2,,2,,154.7375
1,33,1,680,1,1,40,3,4,2001,2,4,94,1,81,20,1,142,56,2,,,12,2002,1,77000,1,2,,1,7000,154.7375
1,33,1,682,1,1,46,2,5,1998,2,7,149,4,39,0,2,,,1,5,1998,,,2,,,2,,2,,154.7375
1,33,1,682,2,2,42,2,5,1998,2,7,241,4,39,0,2,,,1,5,1998,,,2,,,2,,2,,154.7375
1,33,1,682,3,1,11,1,5,1998,1,1,23,4,39,0,2,,,1,5,1998,,,2,,,2,,2,,145.2707
1,33,1,682,3,1,9,1,5,1998,,,,4,39,0,2,,,1,5,1998,,,2,,,2,,2,,145.2707
1,33,1,684,3,2,27,2,10,1998,1,6,94,1,57,6,1,347,46,2,,,99,9999,1,20000,1,2,,2,,154.7375
1,33,1,685,3,2,46,2,6,2001,4,6,21,1,51,36,1,411,60,2,,,6,2004,1,20000,4,2,,1,2000,154.7375
1,33,1,686,2,2,40,2,5,1999,2,6,21,1,81,31,1,913,60,2,,,12,2001,1,11000,4,2,,2,,154.7375
1,33,1,688,2,1,41,2,12,2000,2,7,341,6,96,12,1,413,24,2,,,12,2001,1,105000,1,2,,1,6000,154.7375
1,33,1,691,4,2,33,1,12,1998,2,4,21,1,89,36,1,913,33,2,,,12,2001,1,36000,1,2,,1,3500,154.7375
1,33,1,693,2,2,41,3,5,1999,2,3,21,1,57,88,1,913,60,2,,,88,8888,1,18000,2,2,,1,4500,154.7375
1,33,1,697,3,2,46,2,10,2000,1,7,21,1,18,24,1,827,36,2,,,10,2002,1,30000,4,2,,2,,165.2495
1,33,1,698,3,2,28,2,3,2001,1,4,913,1,39,24,1,913,42,2,,,3,2002,1,12000,4,2,,1,6500,165.2495
1,33,1,703,1,1,49,3,9,2001,2,4,94,1,81,24,1,832,60,2,,,9,2003,1,9000,4,1,15000,1,3500,165.2495
1,33,1,708,6,2,55,2,7,2000,2,4,21,1,80,20,1,913,50,2,,,3,2002,2,,,2,,2,,165.2495
1,33,1,710,3,2,34,3,2,1999,1,4,522,1,82,48,1,913,60,2,,,3,2003,1,42000,1,2,,1,6000,154.7375
1,33,1,721,3,2,45,3,3,1999,1,7,21,1,81,24,1,223,48,1,10,1999,,,2,,,2,,2,,168.8044
1,33,1,721,3,2,27,4,12,2000,1,7,621,4,82,3,2,,,1,4,2001,,,2,,,1,0,1,67500,168.8044
1,33,1,721,6,2,26,1,5,1998,1,6,23,1,39,24,1,913,12,1,5,1999,,,2,,,2,,2,,168.8044
1,33,1,721,3,1,38,1,12,2000,1,7,312,1,81,24,1,312,9,2,,,12,2002,1,62000,1,2,,2,,168.8044
1,33,1,729,3,2,23,1,8,2000,1,7,522,1,82,24,1,913,3,1,11,2000,,,2,,,2,,2,,168.8044
1,33,1,730,4,1,32,3,8,2001,2,6,522,1,95,10,1,513,18,2,,,6,2002,2,,,2,,2,,168.8044
1,33,1,736,1,1,48,2,7,1999,2,4,832,1,81,99,1,832,47,1,7,2001,,,1,7000,1,1,7500,2,,154.7373
1,33,1,739,3,2,35,1,12,1999,1,4,913,1,82,24,1,913,11,1,12,2000,,,1,4000,5,2,,1,5000,154.7373
1,33,1,746,3,2,34,2,2,2001,1,6,743,1,39,24,1,913,48,2,,,2,2003,1,30000,5,2,,1,1500,154.7375
1,33,1,749,1,1,43,3,6,2001,2,5,621,1,50,12,1,723,36,2,,,6,2002,1,8975,4,2,,2,,154.7375
1,33,1,754,2,2,50,3,2,2001,2,4,21,1,39,12,1,913,60,2,,,4,2002,1,40000,1,2,,1,11000,154.7375
1,33,1,769,3,2,34,2,12,2000,1,3,21,1,82,36,1,913,52,2,,,12,2003,1,18000,1,2,,2,,154.7373
1,33,1,773,2,2,41,3,4,2000,2,4,21,1,89,19,1,913,48,2,,,11,2001,1,120000,1,2,,1,10500,154.7373
1,33,1,778,1,1,38,2,3,2001,2,6,94,1,89,12,1,721,54,2,,,3,2002,1,100000,1,2,,2,,154.7373
1,33,1,788,3,2,28,1,4,1997,2,6,223,6,96,59,1,511,53,2,,,3,2002,1,70000,2,2,,2,,153.9863
1,33,1,791,1,1,45,3,8,1999,2,4,832,1,47,43,1,721,59,2,,,3,2003,1,53000,1,2,,1,2450,153.9863
1,33,1,792,6,1,34,2,5,2000,2,7,233,1,81,24,1,411,58,2,,,3,2002,1,30000,1,2,,2,,153.9863
1,33,1,792,6,2,32,1,6,2001,2,4,21,4,81,9,2,,,2,,,3,2002,2,,,2,,2,,153.9863
1,33,1,792,6,2,25,2,5,2001,2,4,522,1,95,24,1,913,59,2,,,5,2003,1,15000,1,1,30000,2,,153.9863
1,33,1,793,3,1,29,2,4,2000,1,4,931,1,81,24,1,714,29,2,,,4,2002,1,20900,4,2,,2,,168.8044
1,33,1,796,4,1,30,5,7,2000,2,7,94,1,888,10,1,834,37,1,4,2001,,,2,,,1,57600,1,11000,168.8044
1,33,1,807,1,1,42,1,4,1999,2,6,94,1,81,36,1,832,29,2,,,4,2002,1,110000,1,2,,2,,134.2334
1,33,1,814,6,2,72,1,2,2001,3,7,22,4,96,11,2,,,2,,,1,2002,2,,,2,,2,,134.2334
1,33,2,819,3,1,28,2,5,1998,1,3,921,1,82,36,1,513,48,1,6,2001,,,2,,,1,0,1,7200,434.0662
1,33,2,822,6,2,51,3,12,2000,1,7,94,1,18,24,1,913,56,2,,,12,2002,2,,,2,,2,,434.0662
1,33,2,867,3,2,21,1,6,2001,1,6,911,1,82,24,1,913,3,2,,,6,2003,2,,,2,,2,,434.0635
1,33,2,882,3,2,41,3,1,1999,1,2,21,1,39,48,1,913,48,1,3,2001,,,2,,,2,,2,,366.3138
1,33,2,901,3,2,26,2,7,2001,1,6,21,1,39,24,1,913,36,2,,,7,2003,2,,,2,,2,,434.0636
1,33,2,905,3,2,37,2,12,2000,1,7,421,1,89,12,1,825,33,2,,,12,2001,1,42000,4,2,,2,,434.0636
1,33,2,908,3,2,21,1,10,2000,1,4,512,1,82,24,1,913,12,2,,,10,2003,1,2000,1,2,,2,,434.0636
1,33,2,909,1,1,38,2,4,2001,2,7,516,1,47,23,1,913,41,2,,,3,2002,1,96000,1,2,,2,,434.0636
1,33,2,909,2,2,39,2,4,2000,2,7,21,1,47,23,1,913,41,2,,,3,2002,2,,,2,,2,,434.0636
1,33,2,918,3,2,48,2,5,2000,1,4,21,1,81,24,1,411,36,2,,,5,2002,1,20000,1,2,,2,,397.892
1,33,2,944,2,2,31,1,7,2000,2,4,21,1,52,24,1,347,14,2,,,7,2003,1,13000,4,2,,2,,397.8923
1,33,2,958,3,2,31,1,1,2000,1,4,913,1,82,24,1,913,20,2,,,1,2003,1,12000,1,2,,2,,434.0635
1,33,2,987,3,2,29,2,4,2000,1,5,94,1,89,36,1,829,51,2,,,3,2003,1,16300,1,2,,2,,434.0626
1,33,2,999,3,2,35,2,1,1999,1,4,94,1,39,37,1,913,58,2,,,2,2002,1,24000,1,2,,2,,397.8914
1,33,2,1000,1,2,49,1,2,1998,1,4,522,1,39,24,1,913,8,1,10,1999,,,2,,,2,,2,,397.8914
1,33,2,1001,3,2,23,1,8,1999,2,4,23,1,53,24,1,913,6,1,2,2000,,,2,,,2,,2,,397.8914
1,33,2,1002,1,2,51,1,1,1997,3,6,21,1,89,24,1,513,7,1,7,1997,,,2,,,2,,2,,397.8914
1,33,2,1008,3,2,32,2,1,2001,1,7,94,1,81,11,1,223,56,2,,,12,2001,1,82000,4,2,,2,,397.8914
1,33,2,1024,1,1,48,2,7,1999,2,5,94,1,81,48,1,723,56,2,,,7,2003,1,120000,4,2,,2,,463.3405
1,33,2,1027,3,1,21,1,8,2001,1,6,21,1,81,24,1,913,1,2,,,8,2003,1,14000,1,2,,2,,463.3405
1,33,2,1041,3,2,23,1,10,2000,1,7,222,1,81,12,1,222,11,1,9,2001,,,1,50000,4,1,20000,1,4500,477.47
