REGN,PROV,URB,HHCN,REL,SEX,AGE,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,OCUP,SWORK,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,29,1,313,2,2,47,7,96,2,5,67,1,83,541,181,2,,,88,8888,1,15000,3,,2,,188.5769
1,29,1,324,3,1,31,4,96,2,6,Z90,1,56,599,295,2,,,11,1997,1,36000,1,,2,,188.5769
1,29,1,329,3,1,25,1,92,1,6,Z90,1,50,949,494,2,,,88,8888,1,19500,1,,2,,188.5769
1,29,1,336,3,2,31,1,92,1,6,Z20,1,39,541,192,1,12,96,,,1,18000,1,35000,1,16700,188.5769
1,33,2,971,1,1,50,4,96,2,6,33,1,81,700,979,1,11,96,,,1,15000,1,,1,23600,440.8228
1,33,1,786,4,1,28,99,99,2,6,Z30,1,28,982,693,2,,,4,1998,1,10000,1,20000,1,19500,171.4333
1,33,2,988,4,2,27,7,96,2,5,Z20,1,39,541,794,2,,,12,1998,1,12000,1,,1,1500,440.8219
1,33,2,820,4,1,26,12,96,1,3,Z90,1,39,531,9999,2,,,12,1998,2,,,,2,,440.8256
1,33,2,820,3,2,29,9,94,1,3,541,1,39,541,994,1,1,97,,,1,10000,1,,2,,440.8256
1,33,2,821,1,1,34,10,96,2,4,954,1,82,954,1096,2,,,4,1997,2,,,,2,,440.8256
1,33,2,825,3,1,24,2,97,2,3,Z90,1,52,982,297,2,,,11,1997,2,,,,2,,440.8256
1,33,1,627,2,1,36,1,95,2,4,846,1,81,846,195,2,,,1,1998,1,31000,1,,1,11500,171.4331
1,33,1,628,3,2,25,8,92,1,5,541,1,51,541,892,1,2,97,,,1,10000,4,10000,1,2500,171.4331
1,33,1,629,3,2,27,7,96,1,4,999,1,82,593,694,2,,,6,1998,1,5000,4,,1,4500,171.4331
1,33,1,634,2,2,29,4,96,2,3,Z20,1,94,541,1295,2,,,4,1999,1,5000,4,,2,,171.4331
1,33,2,835,3,2,25,6,95,1,6,66,1,81,66,695,2,,,12,1997,1,20000,4,,1,770,440.8235
1,33,2,840,2,1,25,12,94,2,4,611,1,81,999,1294,2,,,5,1997,1,6000,3,,2,,440.8235
1,33,2,855,2,2,32,12,96,2,4,Z20,1,39,541,1288,2,,,12,1998,1,20000,4,30000,2,,440.8237
1,33,2,856,4,2,26,2,95,2,5,Z20,1,39,541,295,1,2,97,,,1,20000,4,,1,2000,440.8237
1,33,1,697,3,2,37,4,96,1,4,Z20,1,18,541,9989,1,3,97,,,1,23000,1,30000,1,14520,171.4332
1,33,1,697,3,2,34,4,96,1,4,Z20,1,18,541,9991,1,3,97,,,1,13000,1,25000,1,25000,171.4332
1,33,1,713,4,1,39,11,95,2,5,855,1,81,855,1195,2,,,4,1997,1,46800,1,,2,,190.4812
1,33,1,713,3,2,37,7,95,4,4,Z20,1,39,541,793,2,,,88,8888,1,18000,4,,2,,190.4812
1,33,1,713,4,1,45,11,96,2,5,Z30,1,96,43,1182,2,,,5,1997,1,39000,1,,2,,190.4812
1,33,1,714,2,1,46,5,94,2,5,949,1,81,521,192,2,,,88,8888,1,33000,1,,1,3500,190.4812
1,33,1,717,2,2,50,3,97,2,4,Z20,1,39,541,397,2,,,88,8888,2,,,,2,,190.4812
1,33,1,725,2,1,46,5,95,2,4,985,1,81,985,1292,2,,,12,1997,1,36000,1,,2,,171.4331
1,33,1,727,2,1,48,99,99,2,5,611,1,81,871,581,2,,,4,1998,1,50000,1,43000,2,,171.4331
1,33,1,728,4,1,30,3,97,2,5,855,1,81,855,397,2,,,3,1998,2,,,,2,,171.4331
1,33,1,746,3,1,35,3,96,1,6,31,1,81,31,396,2,,,88,8888,2,,,,1,2000,190.4814
1,33,1,749,3,1,35,9,96,2,4,981,1,39,981,994,2,,,88,8888,1,36000,1,,2,,190.4814
1,33,1,749,3,2,30,11,96,1,4,Z20,1,39,541,1194,2,,,88,8888,1,4500,1,15000,1,6800,190.4814
1,33,1,752,1,1,40,9,96,2,4,981,1,50,981,1095,2,,,10,1998,1,22000,1,,2,,190.4814
1,33,1,758,3,1,29,11,95,1,5,999,1,51,542,1195,2,,,12,1997,2,,,,2,,188.5765
1,33,1,758,3,2,26,11,96,1,5,949,1,82,541,1196,2,,,11,1998,1,15000,4,,2,,188.5765
1,33,1,763,3,1,26,6,96,1,4,954,1,46,521,696,2,,,6,1998,1,18200,3,,2,,188.5765
