REG,HHNUM,RPL,PSU,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9_USOCC,Q10_REASON,Q11_CTRY,Q12_STAY,Q13_INDWORK,Q14_OCCUP1,Q15_NOMONTH,Q16_RET,Q17_DTRET,Q18_DTEXP,Q19_CASHREM,Q20_CASHAMT,Q21_MODE,Q22_RET6MOS,Q23_CASHHOME,Q24_INKIND,Q25_KINDAMT,SWGT,P6M_IND
01,00090,1,00648,07,03,2,41,04,062006,1,63,0920,1,221,16,1,4222,50,2,      ,102007,1,040000,5,1,050000,1,014500,000414.3566,1
01,00091,1,00648,03,02,2,35,01,082006,2,04,0210,1,235,37,1,5133,01,2,      ,092009,2,      , ,2,      ,2,      ,000414.3566,1
01,00092,3,00683,01,01,1,51,01,012006,2,03,6111,1,233,25,1,9313,08,2,      ,022008,1,030000,4,2,      ,2,      ,000372.5823,1
01,00093,4,00704,04,03,1,43,01,072003,1,65,9313,1,400,60,1,5133,38,2,      ,072008,2,      , ,2,      ,2,      ,000399.6467,1
01,00094,4,00704,81,03,1,26,02,062006,1,65,0920,6,500,88,1,2229,15,2,      ,888888,2,      , ,1,200000,1,050500,000404.5751, 
01,00095,4,00704,03,03,1,24,02,022006,2,05,5122,1,400,10,1,5122,17,2,      ,122006,1,060000,1,2,      ,2,      ,000401.9200,1
01,00096,4,00704,03,03,2,28,01,102005,1,61,5123,1,235,36,1,5133,11,2,      ,102008,1,025000,1,2,      ,2,      ,000483.0532,1
01,00097,4,00704,01,01,1,29,01,022004,2,65,5123,1,234,34,1,9322,31,2,      ,122006,1,037600,4,2,      ,2,      ,000470.5702,1
01,00098,2,00725,02,02,2,41,03,042005,2,61,6212,1,234,24,1,9131,58,2,      ,042007,1,050000,4,2,      ,2,      ,000397.7420,1
01,00099,3,00733,03,05,2,33,01,052004,2,05,0210,1,400,88,1,3300,28,2,      ,888888,2,      , ,2,      ,2,      ,000479.3702,1
01,00100,3,00733,03,05,1,40,01,042006,2,65,2151,1,300,02,1,2151,02,1,062006,      ,1,090000,1,1,040000,2,      ,000396.5996,1
01,00101,3,00733,07,05,2,25,01,062006,2,63,0210,1,500,88,1,5133,03,2,      ,888888,1,075000,1,2,      ,2,      ,000479.3702,1
01,00102,3,00733,03,08,1,30,02,092005,1,05,2320,1,212,10,1,9151,20,1,072006,      ,1,051000,1,1,050000,2,      ,000466.9823,1
