PREG,PHHNUM,PRPL,PPSU,PQ1_LNO,PQ2_REL,PQ3_SEX,PQ4_AGE,PQ5_TMSLEFT,PQ6_DTLEFT,PQ7_MSTAT,PQ8_HGRADE,PQ9_USOCC,PQ10_REASON,PQ11_CTRY,PQ12_STAY,PQ13_INDWORK,PQ14_OCCUP1,PQ15_NOMONTH,PQ16_RET,PQ17_DTRET,PQ18_DTEXP,PQ19_CASHREM,PQ20_CASHAMT,PQ21_MODE,PQ22_RET6MOS,PQ23_CASHHOME,PQ24_INKIND,PQ25_KINDAMT,PSWGT,PP6M_IND,PSVYYR
01,000103,3,33011,02,02,2,37,02,122003,2,65,23,1,233,15,1,22,12,2,      ,032005,1,048000,4,2,      ,2,      ,000379.2698,1,2004
01,000104,3,33012,02,02,2,57,03,122003,2,04,91,1,222,24,1,91,50,2,      ,122005,1,030000,1,2,      ,1,005000,000381.9162,1,2004
01,000105,3,33013,03,03,1,24,01,062001,1,64,02,5,300,33,1,91,33,1,032004,      ,2,      , ,2,      ,2,      ,000359.9650,2,2004
01,000106,3,33013,02,02,2,44,01,042001,2,04,92,1,211,01,1,91,01,1,052001,      ,1,035000,4,2,      ,2,      ,000355.0267,2,2004
01,000107,3,33014,02,02,2,33,02,042002,2,04,91,1,211,36,1,91,48,2,      ,042005,1,048000,1,2,      ,2,      ,000402.7595,1,2004
01,000108,3,33014,03,03,2,35,01,022002,2,04,61,1,211,34,1,91,31,2,      ,122004,1,050000,1,2,      ,2,      ,000353.6799,1,2004
01,000109,2,33015,02,05,1,33,03,032004,2,68,09,1,400,08,1,83,24,2,      ,122004,1,175000,1,2,      ,2,      ,000396.5209,1,2004
01,000110,2,33015,02,02,2,44,01,062004,2,04,13,1,222,12,1,91,03,2,      ,062005,1,019000,4,1,100000,1,215500,000353.6799,1,2004
01,000111,2,33015,02,02,2,54,01,012000,2,05,02,1,211,16,1,91,19,1,052001,      ,2,      , ,2,      ,2,      ,000336.6149,2,2004
01,000111,2,33015,04,03,2,30,01,052000,1,65,02,1,211,79,1,91,52,2,      ,122006,2,      , ,2,      ,2,      ,000402.7595,1,2004
01,000112,2,33016,02,02,2,22,01,062002,2,03,92,1,222,24,1,91,24,1,062004,      ,2,      , ,1,025000,2,      ,000398.5558,1,2004
01,000113,2,33016,03,03,2,29,01,072004,1,61,23,1,223,12,1,23,02,2,      ,072005,2,      , ,2,      ,2,      ,000428.4175,1,2004
01,000114,2,33016,02,02,2,41,01,022001,2,04,92,1,211,17,1,91,17,1,072002,      ,2,      , ,2,      ,2,      ,000376.2112,2,2004
01,000115,4,33017,04,02,1,49,01,012001,2,04,61,1,233,47,1,72,44,2,      ,122004,1,046000,1,2,      ,2,      ,000356.0281,1,2004
01,000116,4,33017,06,03,2,36,02,062002,4,05,92,1,222,88,1,91,60,2,      ,888888,1,018000,1,2,      ,2,      ,000373.3288,1,2004
01,000117,4,33017,04,03,2,30,02,102003,1,05,09,1,213,88,1,91,48,2,      ,888888,1,003000,1,2,      ,2,      ,000425.1351,1,2004
01,000118,4,33017,04,03,1,31,01,022002,1,05,92,1,232,38,1,93,31,2,      ,042005,1,064000,4,2,      ,2,      ,000418.5498,1,2004
01,000119,4,33018,02,04,2,42,02,092001,2,05,02,4,223,00,2,  ,  ,1,092001,      ,2,      , ,2,      ,2,      ,000383.4212,2,2004
