RREG,RHHNUM,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_RETURN,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMITTANCE_SPENT,RQ261P_CONSUM,RQ262P_INVEST,RQ263P_SAVINGS,RQ264P_GIFT,RQ265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RP6M_IND,RURB2015,RSVYYR,RPRRCD
01,000058,07,03,2,40,02,06,2019,2,10,52,1,1,231,24,1,52,47,0050000,39,2,  ,    , ,06,2021,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000424.7857,1,2,2020,2800
01,000059,81,03,2,36,02,07,2020,1,10,53,6, ,500,24,1,22,86,0120000,24,2,  ,    , ,07,2022,1,   60000,1,AC   ,050,000,050,000,000,2,       ,1,00025000,000419.4590, ,2,2020,2800
01,000060,81,03,2,30,02,04,2019,4,10,52,6, ,500,24,1,22,86,0120000,41,2,  ,    , ,04,2021,1,   60000,1,AC   ,070,000,030,000,000,2,       ,2,        ,000419.4590, ,2,2020,2800
01,000061,81,07,1,73,02,12,2019,2,04,61,6, ,500,24,2,  ,  ,       ,  ,2,  ,    , ,12,2021, ,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000419.4590, ,2,2020,2800
01,000061,82,08,2,69,02,12,2019,2,10,92,6, ,500,24,2,  ,  ,       ,  ,2,  ,    , ,12,2021,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000419.4590, ,2,2020,2800
01,000062,02,02,2,50,03,05,2018,2,10,92,1,1,231,36,1,91,96,0030000,60,2,  ,    , ,05,2021,1,   60000,5,ABC  ,050,030,020,000,000,2,       ,2,        ,000314.4452,1,2,2020,2800
01,000063,81,03,2,42,01,04,2016,3,03,92,6, ,400,60,1,91,96,0030000,53,2,  ,    , ,88,8888,1,   90000,5,ABC  ,050,030,020,000,000,2,       ,2,        ,000402.6482, ,2,2020,2800
01,000064,04,02,2,44,03,12,2019,2,02,92,1,1,211,24,1,91,96,0025000,60,2,  ,    , ,12,2021,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000407.7614,1,2,2020,2800
01,000065,02,04,2,50,03,09,2018,3,04,92,1,1,211,36,1,91,96,0025000,60,2,  ,    , ,09,2021,1,   60000,5,ABC  ,060,030,010,000,000,2,       ,2,        ,000314.4452,1,2,2020,2800
01,000065,04,08,2,26,02,09,2018,1,10,52,1,1,500,36,1,91,96,0030000,60,2,  ,    , ,09,2021,1,   30000,5,A    ,100,000,000,000,000,2,       ,2,        ,000378.2625,1,2,2020,2800
01,000066,05,07,1,57,02,05,2019,2,02,83,1,1,400,24,1,53,96,0020000,60,2,  ,    , ,05,2021,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000454.4156,1,2,2020,2900
01,000067,05,03,2,44,02,12,2019,2,04,52,1,1,211,24,1,91,96,0021000,51,1,12,2019,2,  ,    ,1,   30000,1,A    ,100,000,000,000,000,2,       ,2,        ,000477.7045,2,2,2020,2900
01,000068,02,02,2,63,01,05,2018,2,04,91,1,1,211,36,1,91,96,0020000,28,2,  ,    , ,05,2021,1,   60000,5,AB   ,080,020,000,000,000,2,       ,2,        ,000379.8516,1,2,2020,2900
01,000069,03,03,2,37,03,07,2018,1,07,09,2,1,222,36,1,91,96,0023000,51,2,  ,    , ,07,2021,1,   46000,5,ABD  ,050,030,000,020,000,2,       ,2,        ,000454.1947,1,2,2020,2900
01,000070,02,02,1,47,02,12,2019,2,10,61,1,1,235,24,1,53,96,0030000,24,2,  ,    , ,12,2021,1,   90000,1,ABD  ,080,010,000,010,000,2,       ,2,        ,000479.0867,1,2,2020,2900
01,000071,03,03,1,37,01,02,2017,1,09,41,1,1,233,35,1,91,86,0013000,35,1,01,2020,2,  ,    ,1,   10000,1,A    ,100,000,000,000,000,1,0013000,2,        ,000395.5658,2,2,2020,2900
01,000072,02,02,1,68,02,11,2019,2,04,13,1,1,500,24,1,72,28,0030000,25,2,  ,    , ,11,2021,1,   80000,1,A    ,100,000,000,000,000,2,       ,2,        ,000429.1977,1,2,2020,2900
01,000073,02,03,2,42,02,07,2018,1,10,09,1,1,233,36,1,32,86,0017000,26,2,  ,    , ,07,2021,1,   38000,5,AC   ,010,000,090,000,000,2,       ,2,        ,000454.1947,1,2,2020,2900
01,000074,02,02,2,42,01,08,2019,2,09,09,1,1,211,19,1,91,96,0025000,13,2,  ,    , ,03,2021,1,   20000,5,AE   ,050,000,000,000,050,2,       ,2,        ,000431.9331,1,2,2020,2900
01,000075,03,05,2,36,01,01,2020,2,10,22,1,1,233,12,1,22,86,0030000,08,2,  ,    , ,01,2021,1,   60000,5,ABD  ,050,030,000,020,000,2,       ,2,        ,000431.9331,1,2,2020,2900
01,000076,04,03,1,24,01,11,2019,1,10,09,5, ,212,12,2,  ,  ,       ,  ,2,  ,    , ,11,2020,1,   30000,1,A    ,100,000,000,000,000,2,       ,2,        ,000458.9520,2,2,2020,2900
01,000077,01,01,1,46,01,08,2017,2,09,54,1,1,234,24,1,54,80,0039000,24,1,08,2019,2,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000485.9829,2,2,2020,2900
01,000078,08,03,2,42,01,07,2018,2,09,52,2,1,500,41,1,52,47,0050000,26,2,  ,    , ,12,2021,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,1,00007000,000460.7327,1,2,2020,2900
01,000079,02,02,2,50,01,10,2015,2,02,09,1,1,222,36,1,91,96,0025000,36,1,10,2018,2,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000455.2319,2,2,2020,2900
01,000080,03,03,2,26,01,11,2019,1,10,14,1,1,234,24,1,14,56,0040000,10,2,  ,    , ,11,2021,1,   60000,1,AB   ,050,050,000,000,000,2,       ,2,        ,000648.1416,1,2,2020,2900
01,000081,04,03,2,24,01,05,2018,1,08,52,1,1,234,36,1,51,56,0015000,28,2,  ,    , ,05,2021,1,   20000,5,A    ,100,000,000,000,000,2,       ,2,        ,000455.7329,1,2,2020,2900
01,000082,02,04,2,55,02,01,2017,1,08,93,1,1,211,48,1,91,96,0025000,60,2,  ,    , ,01,2021,1,   30000,5,A    ,100,000,000,000,000,2,       ,2,        ,000378.7593,1,2,2020,2900
01,000082,04,08,2,25,01,03,2019,2,08,95,1,1,211,24,1,91,96,0031000,18,2,  ,    , ,03,2021,1,   60000,5,AC   ,090,000,010,000,000,2,       ,2,        ,000632.9677,1,2,2020,2900
01,000083,03,03,2,26,01,04,2019,1,10,22,1,1,300,36,1,53,86,0100000,17,2,  ,    , ,04,2022,1,  120000,5,ABC  ,030,040,030,000,000,2,       ,2,        ,000630.6968,1,2,2020,2900
01,000083,04,03,2,23,01,03,2020,1,10,42,1,1,300,24,1,91,96,0060000,06,2,  ,    , ,03,2022,1,   20000,5,C    ,000,000,100,000,000,2,       ,2,        ,000454.0979,1,2,2020,2900
01,000084,04,05,2,34,02,11,2018,2,04,52,1,1,222,36,1,91,96,0020000,60,2,  ,    , ,11,2021,1,   30000,5,A    ,100,000,000,000,000,2,       ,2,        ,000630.6968,1,2,2020,2900
01,000085,02,02,2,53,02,01,2020,2,10,09,1,1,211,24,1,91,96,0025000,60,2,  ,    , ,01,2022,1,   60000,5,AC   ,050,000,050,000,000,2,       ,2,        ,000445.8760,1,2,2020,2900
01,000086,02,02,2,30,01,03,2018,2,04,52,1,1,213,36,1,91,96,0030000,30,2,  ,    , ,03,2021,1,   38000,5,ABC  ,040,050,010,000,000,2,       ,2,        ,000563.6015,1,2,2020,2900
01,000087,04,03,1,21,01,11,2018,1,07,92,1,1,221,24,1,93,26,0020000,22,2,  ,    , ,11,2020,1,   20000,5,AB   ,070,030,000,000,000,2,       ,2,        ,000439.3887,1,2,2020,2900
01,000088,02,02,2,52,01,05,2016,2,04,09,2,1,500,42,1,52,46,0020000,42,1,11,2019,1,  ,    ,1,   60000,5,ACD  ,080,000,010,010,000,2,       ,2,        ,000381.6659,2,2,2020,2900
01,000089,02,08,2,36,01,12,2019,4,04,09,1,1,222,10,1,91,96,0020000,09,2,  ,    , ,10,2020,1,   60000,5,ACD  ,070,000,015,015,000,2,       ,2,        ,000386.2778,1,2,2020,2900
01,000090,02,02,2,38,01,12,2019,2,04,92,1,1,222,24,1,91,96,0027000,09,2,  ,    , ,12,2021,1,   90000,5,AE   ,080,000,000,000,020,2,       ,2,        ,000451.6479,1,2,2020,2900
01,000091,03,02,2,43,02,06,2017,2,10,92,1,1,235,48,1,91,96,0050000,60,2,  ,    , ,06,2021,1,   10000,5,A    ,100,000,000,000,000,2,       ,2,        ,000451.6479,1,2,2020,2900
01,000092,02,02,2,41,02,12,2019,2,04,09,1,1,234,24,1,91,96,0022000,24,1,12,2019,1,  ,    ,1,   60000,5,ACD  ,060,000,020,020,000,2,       ,2,        ,000391.0371,2,2,2020,2900
01,000093,02,02,2,40,04,01,2019,2,04,61,1,1,222,09,1,91,96,0022000,40,1,11,2019,1,  ,    ,1,   60000,5,ABC  ,060,020,020,000,000,2,       ,2,        ,000391.0371,2,2,2020,2900
01,000094,02,02,2,29,01,01,2019,2,04,09,1,1,222,10,1,91,96,0025000,10,1,11,2019,1,  ,    ,1,   72000,1,ACD  ,060,000,020,020,000,2,       ,2,        ,000546.5226,2,2,2020,2900
01,000095,02,03,2,30,03,12,2019,1,04,61,1,1,235,10,1,53,87,0024000,32,1,12,2019,1,  ,    ,1,   48000,5,AD   ,050,000,000,050,000,2,       ,2,        ,000546.5226,2,2,2020,2900
01,000096,03,03,2,26,03,02,2020,1,04,61,1,1,235,24,1,91,96,0022000,24,1,02,2020,1,  ,    ,1,   60000,5,ACD  ,060,000,020,020,000,2,       ,2,        ,000546.5226,2,2,2020,2900
