REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCCUP,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,322234002072001290001290600100000010007,01,01,1,43,02,08,2010,2,04,921,1,2,036,21,1,921,36,1,05,2012,2,,,2,,,,,,,,,,,1,0100000,1,0026880,000445.1497,1
01,322234002072001290001290600100000110134,03,03,1,32,02,07,2012,1,04,832,1,2,036,12,1,834,24,2,,,,07,2013,2,,,,,,,,,,,2,,2,,000534.0759,1
01,322234002072001290001290600100000110134,04,03,2,33,01,07,2011,4,04,023,1,1,039,36,1,913,14,2,,,,07,2014,1,0048000,1,1,100,,,,,,,2,,2,,000513.6659,1
01,322234002072001290001290600100000140171,06,03,2,41,02,07,2012,4,03,023,1,1,082,24,1,913,54,2,,,,07,2014,1,0006000,1,1,100,,,,,,,2,,2,,000423.8805,1
01,322234002072001290001290600100000170205,03,03,2,48,01,12,2009,1,03,512,1,1,081,34,1,512,33,2,,,,10,2012,1,0060000,5,1,085,2,015,,,,,2,,2,,000379.4771,1
01,221223002122101290001290700600000080195,03,02,1,48,03,06,2012,2,58,023,1,2,021,12,1,834,24,2,,,,06,2013,1,0016000,1,1,060,2,040,,,,,2,,2,,000370.9700,1
01,221223002122101290001290700600000090221,06,03,1,34,10,05,2012,2,65,023,1,2,094,04,1,215,30,1,08,2012,2,,,1,0180000,1,1,100,,,,,,,1,0420000,2,,000532.8639,1
01,221223002122101290001290700600000130096,02,02,2,42,01,04,2009,2,06,021,1,1,053,39,1,512,39,1,07,2012,2,,,1,0036000,5,1,100,,,,,,,1,0020000,2,,000422.9186,1
01,321127002142001290001290701700000080110,05,02,2,39,02,03,2012,2,67,023,1,1,081,12,1,513,28,2,,,,03,2013,1,0006000,5,1,100,,,,,,,2,,2,,000447.7962,1
01,321205002192001290001290800200000110181,06,03,1,36,02,12,2011,1,06,023,1,1,094,60,1,512,60,2,,,,12,2016,2,,,,,,,,,,,2,,1,0010000,000461.2219,1
01,321205002192001290001290800200000130216,03,02,2,41,02,08,2010,2,03,023,1,1,039,25,1,913,60,1,09,2012,1,,,1,0036000,1,1,050,,,3,050,,,1,0036000,2,,000439.1847,1
01,321205002192001290001290800200000140234,10,03,1,23,01,06,2011,1,04,023,1,1,082,24,1,721,15,2,,,,06,2013,1,0008000,1,1,050,,,3,050,,,2,,2,,000432.4632,1
01,122202002222101290001290901800000010012,03,02,2,30,01,10,2010,2,06,021,1,1,054,48,1,913,23,2,,,,10,2014,1,0030000,5,1,090,,,3,010,,,2,,2,,000513.6659,1
01,122202002222101290001290901800000020025,07,06,2,31,01,12,2011,2,04,921,1,1,103,48,1,913,09,2,,,,12,2015,2,,,,,,,,,,,2,,2,,000513.6659,1
01,122202002222101290001290901800000030038,04,02,2,38,01,04,2011,2,04,021,1,1,103,48,1,913,17,2,,,,04,2015,1,0045000,1,1,100,,,,,,,2,,2,,000423.8805,1
01,122202002222101290001290901800000040052,07,03,2,35,01,11,2008,1,06,021,1,1,035,48,1,913,46,2,,,,11,2012,1,0020000,1,1,100,,,,,,,2,,2,,000423.8805,1
