REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTM,DTLEFTY,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,DTRETM,DTRETY,DTEXPM,DTEXPY,CASHREM,CASHAMT,MODE,RET6MOS,CASHHOME,INKIND,KINDAMT,SWGT
01,33,2,0957,1,1,62,01,02,2000,2,6,711,1,095,48,1,985,07,2,  ,    ,02,2005,1,063000,1,2,      ,2,      ,0401.0156
01,33,2,0961,3,2,33,01,01,1999,1,5,451,1,039,24,1,541,20,2,  ,    ,01,2001,1,008000,1,2,      ,1,000500,0401.0154
01,33,2,1001,1,1,46,03,07,1999,2,5,Z90,1,094,12,1,849,53,1,09,2000,  ,    ,1,113000,1,1,888888,1,001940,0401.0154
01,33,2,1002,2,2,52,01,03,1998,2,4,Z20,1,082,24,1,541,30,1,08,2000,  ,    ,1,005000,1,1,040500,2,      ,0401.0154
01,33,2,1004,1,2,39,01,10,1995,1,6,412,1,039,24,1,532,24,1,09,1997,  ,    ,2,      , ,2,      ,2,      ,0401.0154
01,33,2,1005,4,2,41,02,02,2000,2,6,621,1,089,12,1,541,32,2,  ,    ,02,2001,1,040000,1,2,      ,2,      ,0401.0154
01,33,2,1024,2,1,47,03,07,1999,2,4,Z90,1,081,36,1,700,56,2,  ,    ,03,2003,1,072000,4,2,      ,2,      ,0428.0635
01,33,2,1038,4,2,33,02,05,1998,2,7,Z20,1,063,24,1,541,29,2,  ,    ,05,2001,1,006000,3,2,      ,2,      ,0401.0157
01,33,2,1041,2,1,33,01,10,1998,2,4,985,1,080,26,1,121,23,2,  ,    ,12,2000,1,024000,4,2,      ,2,      ,0401.0157
01,33,2,1048,4,2,41,02,01,1999,2,6,Z20,1,035,24,1,541,56,2,  ,    ,03,2001,1,030000,1,2,      ,1,002700,0364.5602
01,33,2,1049,2,1,50,02,07,2000,2,4,954,1,081,36,1,954,60,2,  ,    ,07,2003,2,      , ,1,040000,1,035000,0364.5602
