RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18_DTRET,RQ19_REASON,RQ20_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
16,0074,025,00063,02,02,2,38,02,052016,2,008,33,1,1,231,24,1,91,41,2,      , ,052018,1,0055000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000216.8899,1
16,0075,028,00005,06,07,2,53,02,122015,3,004,91,1,1,500,36,1,53,21,2,      , ,122018,1,0140000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000224.6759,1
16,0076,027,00057,07,05,1,35,02,082016,2,004,93,1,1,233,24,1,93,31,2,      , ,082018,1,0070000,5,1,085, ,   ,3,010,4,005, ,   ,2,       ,2,       ,000228.3198,1
16,0076,027,00057,12,03,2,31,02,062017,4,601,93,1,1,231,24,1,91,13,2,      , ,062019,1,0083000,5,1,065, ,   ,3,030,4,005, ,   ,1,0020000,2,       ,000272.1509,1
16,0077,027,00009,05,03,2,24,01,122016,2,008,52,1,1,235,24,1,91,09,2,      , ,122018,1,0030000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000244.1142,1
16,0078,027,00009,04,03,2,32,01,012013,1,008,52,1,1,400,60,1,91,56,2,      , ,012018,1,0115000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000294.1492,1
16,0079,027,00009,02,03,2,41,01,102013,1,872,41,1,1,500,60,1,53,47,2,      , ,102018,1,0080000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000225.9959,1
16,0079,027,00009,04,05,1,39,07,022017,2,884,83,1,2,500,06,1,83,42,1,082017,2,      ,1,0088200,1,1,080, ,   ,3,020, ,   , ,   ,1,0098000,1,0017000,000246.7752,1
16,0080,025,00015,02,02,2,45,01,102015,2,008,91,1,1,235,25,1,51,23,2,      , ,112017,1,0078000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000234.5597,1
16,0081,025,00015,02,02,2,40,01,032017,5,008,14,1,1,234,24,1,51,06,2,      , ,032019,1,0036000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000201.3682,1
