REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q8A_VOC,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCC,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,221314001231601280001281801500000180284,10,08,2,32,01,01,2011,2,05,2,621,1,1,018,35,1,513,08,2,,,,12,2013,1,0048000,5,1,100,,,,,,,2,,2,,000570.1051,1
01,421307001602001280001282300100000010255,02,02,2,41,02,02,2011,2,04,2,021,1,1,103,24,1,913,30,2,,,,02,2013,1,0025000,5,1,095,,,3,005,,,2,,2,,000452.9608,1
01,421307001602001280001282301700000130201,03,03,2,24,01,05,2009,1,67,2,523,1,1,018,35,1,513,28,2,,,,04,2012,1,0025000,1,1,080,,,3,020,,,2,,2,,000479.4026,1
01,421307001602001280001282301700000150229,04,05,1,26,01,03,2009,2,04,1,921,1,2,052,36,1,642,30,2,,,,03,2012,1,0015000,4,1,100,,,,,,,2,,2,,000553.9476,1
01,421307001602001280001282301700000160243,03,03,1,28,01,04,2011,2,04,2,921,1,1,081,24,1,712,05,2,,,,04,2013,2,,,,,,,,,,,2,,2,,000553.9476,1
01,121233001751601290001290300200000010002,04,03,1,28,01,11,2010,1,65,2,023,1,1,082,88,1,913,10,2,,,,88,8888,2,,,,,,,,,,,2,,2,,000555.2104,1
01,121233001751601290001290300200000010002,05,03,2,26,01,09,2011,1,67,2,023,1,1,082,24,1,913,00,2,,,,09,2013,2,,,,,,,,,,,2,,2,,000571.4047,1
01,121233001751601290001290300200000070075,05,05,1,33,02,07,2011,2,05,2,023,1,1,078,88,1,932,24,2,,,,88,8888,1,0060000,4,1,100,,,,,,,1,0050000,2,,000555.2104,1
01,121233001751601290001290300200000070075,06,03,2,34,01,01,2009,2,67,2,023,1,1,018,88,1,913,32,2,,,,88,8888,1,0020000,4,1,090,,,3,010,,,2,,2,,000571.4047,1
01,121233001751601290001290300200000150175,03,03,1,33,01,09,2010,2,05,2,611,1,1,083,88,1,913,12,2,,,,88,8888,1,0040000,4,1,100,,,,,,,2,,2,,000555.2104,1
01,121233001751601290001290300200000160187,03,03,2,43,01,04,2008,1,64,2,021,1,1,039,88,1,913,41,2,,,,88,8888,1,0030000,4,1,100,,,,,,,2,,2,,000453.9934,1
01,121233001751601290001290300200000180213,04,03,2,36,02,06,2011,2,02,2,021,1,1,039,24,1,913,60,2,,,,06,2013,1,0030000,4,1,100,,,,,,,1,0020000,2,,000453.9934,1
01,121233001751601290001290300200000190226,02,02,2,36,02,04,2009,2,03,2,021,1,1,039,88,1,913,60,2,,,,88,8888,1,0040000,4,1,100,,,,,,,2,,2,,000453.9934,1
01,421137001692001290001290303300000020017,07,05,2,32,02,02,2008,2,05,2,522,1,1,082,88,1,913,46,2,,,,88,8888,1,0030000,1,1,100,,,,,,,2,,2,,000617.1171,1
01,421137001692001290001290303300000020017,08,03,2,39,01,04,2011,2,57,2,223,1,1,047,88,1,223,05,2,,,,88,8888,1,0120000,1,1,080,,,3,020,,,2,,2,,000490.3129,1
01,421137001692001290001290303300000030025,08,02,2,46,02,01,2009,2,04,2,021,1,1,039,37,1,913,58,2,,,,02,2012,1,0042000,1,1,100,,,,,,,2,,2,,000419.7046,1
01,421137001692001290001290303300000030025,09,05,2,26,01,12,2009,2,04,1,421,1,1,082,24,1,913,21,2,,,,12,2011,1,0048000,1,1,080,,,3,020,,,2,,2,,000617.1171,1
01,421137001692001290001290303300000050043,03,04,2,49,01,01,2010,1,63,2,523,1,1,047,88,1,913,20,2,,,,88,8888,1,0060000,1,1,090,,,3,010,,,2,,2,,000419.7046,1
01,421137001692001290001290303300000058001,05,03,2,24,01,07,2010,1,67,2,023,1,1,081,24,1,223,14,2,,,,07,2012,1,0030000,1,1,090,,,3,010,,,2,,2,,000518.9351,1
01,421137001692001290001290303300000058002,06,03,2,38,02,06,2011,2,05,2,522,1,1,047,88,1,913,56,2,,,,88,8888,1,0090000,1,1,080,,,3,020,,,1,0100000,1,0026500,000490.3129,1
01,421137001692001290001290303300000110094,03,02,1,49,03,07,2011,2,04,1,723,1,1,094,24,1,723,56,2,,,,07,2013,1,0085000,5,1,100,,,,,,,1,0050000,2,,000435.0166,1
01,421137001692001290001290303300000140115,04,03,2,26,02,09,2011,2,67,2,223,1,1,081,07,1,223,10,2,,,,04,2012,1,0030000,1,1,100,,,,,,,1,0050000,1,0040000,000617.1171,1
01,421137001692001290001290303300000260209,05,03,1,38,01,05,2011,2,65,2,023,1,1,066,10,1,913,04,2,,,,03,2012,1,0047000,1,1,070,,,3,030,,,2,,2,,000494.6164,1
01,421137001692001290001290303300000260209,06,05,1,37,02,02,2009,2,67,2,516,2,1,066,37,1,913,48,2,,,,03,2012,1,0120000,1,1,100,,,,,,,2,,2,,000494.6164,1
01,421137001692001290001290303300000260209,07,03,2,37,02,02,2009,2,65,2,223,2,1,066,37,1,223,56,2,,,,03,2012,1,0300000,1,1,100,,,,,,,2,,2,,000490.3129,1
01,421214001812001290001290401200000030016,04,02,2,30,01,12,2010,2,04,2,921,1,1,094,24,1,913,09,2,,,,12,2012,1,0030000,1,1,100,,,,,,,2,,2,,000571.4047,1
01,421214001812001290001290401200000070041,01,01,1,58,08,09,2011,2,65,2,611,1,2,082,06,1,314,50,2,,,,03,2012,1,0430000,1,1,010,2,070,3,020,,,1,0430000,2,,000378.9447,1
01,421214001812001290001290401200000170105,04,03,2,48,03,08,2010,4,04,2,131,1,1,039,24,1,913,38,2,,,,08,2012,1,0030000,1,1,100,,,,,,,2,,1,0002500,000388.6154,1
01,322234002072001290001290600100000010007,05,02,1,41,02,07,2009,2,04,2,611,1,2,036,29,1,643,38,2,,,,12,2011,1,0060000,5,1,100,,,,,,,2,,2,,000484.5208,1
01,322234002072001290001290600100000110134,05,03,2,33,01,07,2011,4,04,2,021,1,1,039,24,1,913,02,2,,,,07,2013,1,0015000,4,1,100,,,,,,,2,,2,,000604.5212,1
01,322234002072001290001290600100000110134,06,03,1,32,01,07,2009,1,04,2,832,1,2,036,36,1,643,26,2,,,,07,2012,1,0120000,5,1,100,,,,,,,2,,2,,000587.3884,1
01,322234002072001290001290600100000120145,09,03,2,29,02,05,2009,1,05,2,021,1,1,082,31,1,913,55,2,,,,12,2011,1,0010000,5,1,100,,,,,,,2,,2,,000604.5212,1
01,322234002072001290001290600100000140171,08,03,2,40,02,11,2010,4,03,2,021,1,1,082,13,1,913,55,2,,,,12,2011,1,0129500,1,1,010,2,090,,,,,2,,2,,000480.3052,1
01,322234002072001290001290600100000170205,05,03,2,46,01,12,2009,1,03,2,021,1,1,081,88,1,913,21,2,,,,88,8888,1,0032000,5,1,010,2,090,,,,,2,,2,,000411.1381,1
01,322234002072001290001290600100000190230,08,03,2,31,01,06,2008,1,64,2,021,1,1,095,88,1,913,39,2,,,,88,8888,1,0034000,1,1,100,,,,,,,2,,2,,000604.5212,1
01,321331002002001290001290604000000140346,03,02,2,48,01,07,2009,2,03,2,021,1,1,078,32,1,913,26,2,,,,03,2012,1,0018000,5,1,100,,,,,,,2,,2,,000435.9814,1
01,221223002121601290001290700600000100016,06,02,1,51,02,04,2011,2,68,2,023,1,2,035,10,1,834,42,2,,,,02,2012,1,0112500,2,1,100,,,,,,,2,,2,,000419.5762,1
01,221223002121601290001290700600000110042,07,02,1,44,02,04,2011,2,04,2,931,1,1,081,24,1,931,30,2,,,,04,2013,1,0020000,1,1,100,,,,,,,2,,2,,000477.0606,1
01,221223002121601290001290700600000120068,08,03,2,28,01,06,2010,1,61,2,233,1,1,090,18,1,233,15,2,,,,12,2011,1,0080000,1,,,2,100,,,,,2,,2,,000595.2133,1
01,221223002121601290001290700600000190246,07,03,2,40,01,12,2007,1,61,2,023,1,1,046,88,1,513,45,2,,,,88,8888,1,0108000,4,1,100,,,,,,,2,,2,,000472.9098,1
01,321127002142001290001290701700000080110,05,02,2,38,02,08,2011,2,67,2,223,1,1,081,05,1,223,44,2,,,,01,2012,1,0045000,4,1,100,,,,,,,1,0050000,2,,000453.9934,1
01,321205002192001290001290800200000030048,10,03,1,28,01,11,2010,1,04,2,921,1,1,136,24,1,932,10,2,,,,11,2012,1,0026000,1,1,060,,,3,040,,,2,,2,,000601.4780,1
01,321205002192001290001290800200000110181,05,03,1,36,01,05,2009,1,05,2,921,1,1,094,36,1,512,28,2,,,,05,2012,1,0027000,1,1,080,,,3,020,,,2,,2,,000496.1430,1
01,321205002192001290001290800200000130216,03,02,2,41,01,01,2011,2,03,2,921,1,1,039,24,1,913,08,2,,,,01,2013,1,0018000,1,1,100,,,,,,,2,,2,,000491.8263,1
01,321205002192001290001290800200000140234,07,03,1,21,01,07,2011,1,05,1,921,1,1,082,24,1,721,02,2,,,,07,2013,1,0015000,4,1,070,,,3,030,,,2,,2,,000479.2625,1
01,122202002221601290001290901800000050061,04,02,1,46,01,04,2010,2,04,2,921,1,1,083,48,1,512,17,2,,,,04,2014,1,0040000,1,1,100,,,,,,,2,,2,,000403.7093,1
01,122202002221601290001290901800000060076,04,03,1,29,02,08,2011,1,04,2,921,1,1,078,24,1,931,25,2,,,,08,2013,2,,,,,,,,,,,1,0080000,1,0013500,000556.4732,1
01,122202002221601290001290901800000070091,03,02,2,46,01,06,2008,2,04,2,921,1,1,035,48,1,512,39,2,,,,06,2012,1,0035000,1,1,100,,,,,,,2,,2,,000389.4993,1
01,122202002221601290001290901800000140186,06,02,1,34,03,03,2011,2,65,2,921,1,2,096,12,1,723,26,2,,,,03,2012,1,0070000,2,1,075,,,3,025,,,2,,2,,000556.4732,1
01,122202002221601290001290901800000160214,05,02,2,33,02,04,2011,2,04,2,921,1,1,103,48,1,512,47,2,,,,04,2015,1,0045000,1,1,100,,,,,,,1,0085000,1,0010500,000572.7043,1
01,122202002221601290001290901800000180239,03,03,1,33,01,07,2011,1,04,2,522,1,1,078,24,1,522,02,2,,,,07,2013,2,,,,,,,,,,,2,,2,,000556.4732,1
01,122202002221601290001290901800000180239,04,05,1,37,01,09,2009,2,04,1,921,1,1,018,88,1,512,24,2,,,,88,8888,2,,,,,,,,,,,2,,2,,000459.0198,1
01,122202002221601290001290901800000180239,05,03,2,36,01,12,2007,2,63,2,021,1,1,018,88,1,512,45,2,,,,88,8888,1,0055000,1,1,100,,,,,,,2,,2,,000455.0260,1
01,122202002221601290001290901800000200267,06,05,2,33,01,08,2009,2,61,2,021,1,1,039,48,1,512,25,2,,,,08,2013,1,0035000,1,1,100,,,,,,,2,,2,,000572.7043,1
01,322123002272001290001291201000000050031,04,02,2,25,02,07,2009,2,04,2,921,1,1,057,35,1,913,26,2,,,,06,2012,1,0045000,1,1,060,2,040,,,,,2,,2,,000571.4047,1
01,122103002501601290001291500700000010010,04,08,1,36,01,01,2010,2,61,2,234,1,1,090,36,1,234,20,2,,,,01,2013,1,0012000,1,1,080,,,3,020,,,2,,2,,000483.4213,1
01,122103002501601290001291500700000030042,07,03,2,34,02,07,2010,2,67,2,223,1,1,081,09,1,223,51,1,04,2011,2,,,2,,,,,,,,,,,1,0000000,2,,000603.1493,1
01,122103002501601290001291500700000150229,09,03,2,23,01,08,2011,1,67,2,921,1,1,021,24,1,234,01,2,,,,08,2013,2,,,,,,,,,,,2,,2,,000507.1896,1
01,122103002501601290001291500700000160246,08,05,2,28,01,06,2010,2,04,2,921,1,1,051,36,1,913,15,2,,,,06,2013,1,0012000,1,1,050,,,3,050,,,2,,2,,000603.1493,1
