RREG,HHNUM,RRPL,RSTR,RPSU,RROTATION,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0047,4,22223,00099,28,01,01,2,40,02,12,2014,3,04,911,1,1,222,24,1,913,48,2,,,,12,2016,2,,,,,,,,,,,,,2,,2,,000477.1491,1
01,0048,4,22223,00099,28,04,03,2,27,01,05,2013,1,04,913,1,1,222,48,1,913,28,2,,,,05,2017,1,0060000,1,1,100,,,,,,,,,2,,2,,000542.4652,1
01,0049,4,22112,00107,28,06,04,2,56,02,06,2013,1,04,021,1,1,211,30,1,913,51,2,,,,12,2015,1,0025000,5,1,090,2,010,,,,,,,2,,2,,000345.1058,1
01,0049,4,22112,00107,28,07,04,2,45,02,04,2015,1,53,913,1,1,211,26,1,913,33,2,,,,06,2017,1,0030000,5,1,050,2,050,,,,,,,2,,2,,000395.0680,1
01,0050,4,22112,00107,28,04,03,2,34,02,06,2015,1,04,913,1,1,211,24,1,913,27,2,,,,06,2017,1,0021000,4,1,100,,,,,,,,,2,,2,,000541.2333,1
01,0051,4,22112,00107,28,03,03,1,36,01,08,2015,2,63,832,1,1,234,24,1,512,01,2,,,,08,2017,2,,,,,,,,,,,,,2,,2,,000479.2269,1
01,0052,4,22112,00107,28,81,07,2,64,01,07,2013,3,61,021,6,,500,36,1,512,26,2,,,,07,2016,1,0060000,4,1,100,,,,,,,,,2,,2,,000485.1888,
01,0053,4,22112,00107,28,04,03,2,30,01,01,2014,4,04,021,1,1,211,24,1,913,20,2,,,,01,2016,1,0082000,4,1,100,,,,,,,,,2,,2,,000541.2333,1
01,0054,4,22112,00107,28,02,02,2,48,03,08,2014,2,04,021,1,1,211,24,1,913,54,2,,,,08,2016,1,0040000,1,1,100,,,,,,,,,2,,2,,000395.0680,1
01,0055,4,22112,00107,28,03,03,2,26,02,01,2014,1,04,913,1,1,211,24,1,913,23,2,,,,01,2016,1,0016000,4,1,100,,,,,,,,,2,,2,,000541.2333,1
01,0056,2,21222,00113,26,05,03,2,25,01,05,2015,2,67,223,1,1,400,24,1,223,04,2,,,,05,2017,1,0018000,1,1,100,,,,,,,,,2,,2,,000540.8227,1
01,0057,2,21314,00123,26,05,03,2,30,01,04,2014,1,06,021,1,1,221,24,1,913,17,2,,,,04,2016,1,0072000,5,1,100,,,,,,,,,2,,2,,000540.4120,1
01,0057,2,21314,00123,26,07,05,1,44,05,04,2015,2,65,813,1,1,221,12,1,142,50,2,,,,04,2016,1,0150000,1,1,080,,,3,020,,,,,2,,2,,000478.4997,1
01,0058,2,21314,00123,26,07,03,2,35,02,04,2015,2,04,512,1,1,222,24,1,913,20,2,,,,04,2017,1,0060000,1,1,060,2,040,,,,,,,2,,2,,000475.3431,1
01,0058,2,21314,00123,26,08,03,2,32,01,10,2013,2,04,522,1,1,222,24,1,913,23,2,,,,10,2015,1,0090000,1,1,040,2,060,,,,,,,2,,2,,000540.4120,1
01,0059,2,21314,00123,26,02,05,1,42,03,05,2015,2,68,522,1,2,233,12,1,921,24,2,,,,05,2016,1,0120000,1,1,080,,,3,020,,,,,2,,2,,000478.4997,1
01,0060,2,21314,00123,26,02,03,2,49,02,04,2014,1,53,512,1,1,211,24,1,913,44,2,,,,04,2016,1,0018000,1,1,100,,,,,,,,,2,,2,,000394.4685,1
01,0061,2,21314,00123,26,02,02,2,37,01,04,2015,2,67,419,1,1,211,24,1,913,05,2,,,,04,2017,1,0050000,1,1,100,,,,,,,,,2,,2,,000475.3431,1
01,0062,2,21314,00123,26,06,03,2,43,02,10,2013,2,06,412,1,1,235,36,1,913,40,2,,,,10,2016,1,0040000,1,1,100,,,,,,,,,2,,2,,000475.3431,1
