RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0044,010,00149,10,05,2,29,01,03,2016,5,53,091,1,1,213,36,1,911,06,2,,,,03,2019,1,0030000,5,1,100,,,,,,,,,2,,2,,000392.0230,1
01,0045,010,00149,03,03,2,27,02,11,2015,1,58,515,1,1,222,24,1,911,34,2,,,,11,2017,1,0019000,5,1,100,,,,,,,,,2,,1,0008000,000392.0230,1
01,0046,009,00199,06,03,2,26,01,03,2014,2,67,222,1,1,233,24,1,222,24,1,03,2016,2,,,2,,,,,,,,,,,,,2,,2,,000421.2756,2
01,0047,009,00199,07,03,2,38,02,08,2016,1,67,093,1,1,233,24,1,222,24,2,,,,08,2018,1,0045000,1,1,090,,,3,010,,,,,2,,1,0034000,000338.3595,1
01,0048,009,00199,81,08,2,54,01,10,2011,2,04,142,6,,500,54,1,515,54,1,04,2016,1,,,1,0040000,1,1,100,,,,,,,,,1,0200000,1,0040000,000322.0762,
01,0049,009,00199,01,01,1,52,03,12,2014,2,65,214,1,1,233,24,1,214,55,2,,,,12,2016,1,0120000,1,1,080,,,3,020,,,,,2,,2,,000321.9846,1
01,0050,009,00397,02,02,2,39,01,02,2014,2,04,921,1,1,231,36,1,911,31,2,,,,02,2017,1,0012000,5,1,100,,,,,,,,,2,,2,,000341.6601,1
01,0051,009,00397,03,03,2,38,01,05,2014,1,61,234,1,1,400,36,1,911,28,2,,,,05,2017,1,0030000,1,1,100,,,,,,,,,2,,2,,000341.6601,1
01,0052,009,00397,01,01,1,38,01,12,2013,1,04,093,1,1,233,24,1,834,24,1,12,2015,2,,,2,,,,,,,,,,,,,2,,2,,000366.3358,2
01,0053,009,00397,02,02,2,29,01,01,2015,2,68,091,1,1,235,24,1,532,20,2,,,,01,2017,1,0030000,1,1,100,,,,,,,,,2,,2,,000425.3850,1
01,0054,012,00473,02,02,2,34,01,05,2013,2,04,091,1,1,222,48,1,911,40,2,,,,05,2017,1,0042000,5,1,100,,,,,,,,,2,,2,,000370.4685,1
01,0055,012,00473,03,05,2,33,01,08,2016,2,04,091,1,1,231,24,1,911,01,2,,,,08,2018,1,0012000,5,1,100,,,,,,,,,2,,2,,000370.4685,1
01,0056,012,00473,04,05,2,39,01,04,2016,2,04,091,1,1,222,24,1,911,05,2,,,,04,2018,2,,,,,,,,,,,,,2,,2,,000297.5523,1
01,0057,012,00473,02,02,2,51,03,01,2015,2,04,091,1,1,211,24,1,911,22,2,,,,01,2017,1,0048000,5,1,100,,,,,,,,,2,,2,,000317.6369,1
01,0058,010,00446,05,03,1,28,01,06,2016,1,55,516,1,1,233,24,1,516,03,2,,,,06,2018,2,,,,,,,,,,,,,2,,2,,000375.7150,1
01,0059,011,00549,03,03,2,24,02,09,2016,1,57,522,1,1,234,24,1,911,24,2,,,,09,2018,1,0006000,5,1,100,,,,,,,,,1,0025000,2,,000381.6240,1
01,0060,011,00549,01,01,1,31,01,08,2015,2,04,931,1,1,234,24,1,941,13,2,,,,08,2017,1,0022000,5,1,100,,,,,,,,,2,,2,,000471.5884,1
01,0061,011,00549,03,03,2,42,01,07,2012,1,68,222,1,1,235,60,1,532,50,2,,,,07,2017,1,0060000,5,1,100,,,,,,,,,2,,2,,000412.3225,1
01,0061,011,00549,05,05,2,41,01,03,2016,2,04,091,1,1,222,24,1,911,06,2,,,,03,2018,1,0032000,5,1,100,,,,,,,,,2,,2,,000412.3225,1
01,0062,011,00549,02,02,2,37,02,01,2015,2,03,091,1,1,211,24,1,911,45,2,,,,01,2017,1,0010000,5,1,100,,,,,,,,,2,,1,0010000,000412.3225,1
01,0063,011,00549,02,02,2,37,02,05,2016,2,53,411,1,1,211,24,1,911,48,2,,,,05,2018,1,0017500,5,1,100,,,,,,,,,1,0030000,2,,000412.3225,1
01,0064,011,00351,02,02,2,40,03,07,2016,2,04,091,1,1,211,24,1,911,49,2,,,,07,2018,1,0066000,1,1,100,,,,,,,,,2,,2,,000410.6222,1
01,0065,011,00351,81,02,1,54,01,10,2013,5,04,611,6,,500,36,1,751,35,2,,,,10,2016,1,0042000,5,1,100,,,,,,,,,2,,2,,000390.8613,
01,0066,011,00351,03,03,2,30,01,08,2013,1,06,532,1,1,500,48,1,532,37,2,,,,08,2017,1,0060000,1,1,100,,,,,,,,,2,,2,,000511.2465,1
01,0066,011,00351,04,03,1,32,02,03,2015,2,65,214,1,1,233,36,1,214,42,1,08,2016,1,,,1,0040000,1,1,100,,,,,,,,,1,0050000,2,,000469.6437,1
01,0066,011,00351,05,05,2,32,01,03,2016,2,57,091,4,,233,03,2,,,1,06,2016,3,,,2,,,,,,,,,,,,,1,0020000,2,,000511.2465,2
01,0067,010,00545,02,02,2,48,01,07,2016,2,04,091,1,1,233,24,1,911,02,2,,,,07,2018,1,0031000,5,1,100,,,,,,,,,2,,2,,000355.7533,1
01,0068,010,00545,01,01,1,39,01,03,2013,1,90,111,4,,500,03,2,,,1,06,2013,3,,,2,,,,,,,,,,,,,2,,2,,000357.3275,2
01,0068,010,00545,03,07,2,70,04,04,2015,3,61,092,4,,500,06,2,,,1,11,2015,3,,,2,,,,,,,,,,,,,2,,2,,000293.6241,2
01,0069,010,00545,02,02,2,36,01,09,2014,2,64,412,1,1,231,24,1,911,24,1,09,2016,2,,,1,0040000,5,1,070,,,3,030,,,,,1,0100000,2,,000333.2586,1
01,0070,012,00374,02,02,2,31,02,02,2016,2,04,921,1,1,232,24,1,911,12,2,,,,02,2018,1,0060000,1,1,090,,,3,010,,,,,2,,2,,000348.2404,1
01,0071,012,00374,01,01,1,37,01,04,2013,2,04,611,1,1,232,60,1,817,41,2,,,,04,2018,1,0090000,1,1,090,,,3,010,,,,,2,,1,0027000,000299.8999,1
01,0071,012,00374,02,02,2,27,01,04,2016,2,04,921,1,1,233,24,1,911,05,2,,,,04,2018,1,0025000,1,1,090,,,3,010,,,,,2,,2,,000348.2404,1
01,0072,012,00374,05,03,2,23,01,09,2016,1,63,411,4,,214,01,2,,,2,,,,10,2016,2,,,,,,,,,,,,,2,,2,,000258.8748,2
01,0073,012,00572,01,01,1,28,02,06,2016,2,01,611,1,2,222,24,1,622,27,2,,,,06,2018,1,0030000,1,1,080,,,3,020,,,,,2,,2,,000337.1801,1
01,0074,012,00572,03,03,1,35,02,09,2016,1,04,921,1,2,222,24,1,622,25,2,,,,09,2018,1,0030000,1,1,080,,,3,020,,,,,2,,2,,000316.0974,1
01,0074,012,00572,04,03,2,33,01,10,2015,1,68,921,1,1,213,36,1,818,11,2,,,,10,2018,1,0020000,5,1,100,,,,,,,,,2,,2,,000367.0487,1
01,0074,012,00572,05,03,1,31,01,06,2015,1,04,921,1,2,222,24,1,622,15,2,,,,06,2017,1,0030000,1,1,080,,,3,020,,,,,2,,2,,000337.1801,1
01,0075,012,00572,03,03,2,35,02,04,2014,1,06,921,1,1,235,36,1,911,60,2,,,,04,2017,1,0030000,5,1,100,,,,,,,,,2,,2,,000294.8056,1
01,0075,012,00572,04,03,1,31,03,02,2016,1,02,921,1,2,222,24,1,622,55,2,,,,02,2018,1,0030000,1,1,090,,,3,010,,,,,2,,2,,000337.1801,1
01,0075,012,00572,05,03,1,39,01,02,2016,1,02,921,1,2,222,24,1,622,07,2,,,,02,2018,1,0025000,1,1,080,,,3,020,,,,,1,0085000,2,,000316.0974,1
01,0076,012,00572,03,03,1,22,01,02,2016,2,03,921,1,2,222,24,1,622,07,2,,,,02,2018,1,0040000,1,1,080,,,3,020,,,,,2,,2,,000301.1703,1
01,0077,012,00572,03,03,2,24,01,11,2015,1,68,921,1,1,213,36,1,818,10,2,,,,11,2018,1,0030000,5,1,100,,,,,,,,,2,,2,,000272.8565,1
01,0077,012,00572,08,05,1,28,01,10,2015,2,04,921,1,2,213,24,1,622,11,2,,,,10,2017,1,0030000,1,1,080,,,3,020,,,,,2,,2,,000337.1801,1
01,0078,010,00347,02,02,2,30,01,07,2016,5,06,091,1,1,211,24,1,911,02,2,,,,07,2018,1,0020000,5,1,100,,,,,,,,,2,,2,,000407.5153,1
01,0079,010,00347,04,04,2,29,01,11,2011,2,67,222,1,1,233,26,1,222,26,1,01,2014,2,,,2,,,,,,,,,,,,,2,,2,,000407.5153,2
01,0080,010,00347,02,02,2,49,01,10,2015,2,63,091,1,1,213,24,1,911,11,2,,,,10,2017,1,0030000,5,1,100,,,,,,,,,2,,2,,000349.4006,1
01,0081,010,00347,01,01,1,35,05,09,2015,2,68,093,1,2,212,12,1,835,60,1,09,2016,2,,,1,0150000,1,1,060,,,3,040,,,,,1,0100000,1,0020000,000350.9467,1
01,0082,011,00450,05,02,2,24,01,08,2015,5,06,091,1,1,211,24,1,911,13,2,,,,08,2017,1,0015000,5,1,100,,,,,,,,,2,,2,,000392.1678,1
01,0083,011,00450,04,03,2,35,01,08,2015,1,06,522,1,1,211,24,1,911,13,2,,,,08,2017,1,0035000,5,1,100,,,,,,,,,2,,2,,000423.7145,1
01,0084,011,00450,04,03,2,44,01,04,2012,4,06,091,1,1,221,60,1,911,53,2,,,,04,2017,1,0030000,5,1,100,,,,,,,,,2,,2,,000423.7145,1
01,0085,011,00450,02,05,1,23,01,09,2015,5,04,921,1,2,213,12,1,622,12,1,09,2016,2,,,1,0025000,1,1,100,,,,,,,,,1,0055000,2,,000432.8622,1
01,0086,012,00225,81,05,1,44,01,07,2015,2,65,216,6,,500,88,1,216,14,2,,,,88,8888,2,,,,,,,,,,,,,2,,2,,000409.8028,
01,0086,012,00225,82,03,2,39,01,07,2015,2,68,422,6,,500,88,1,513,14,2,,,,88,8888,2,,,,,,,,,,,,,2,,2,,000409.8028,
01,0086,012,00225,83,06,1,13,01,07,2015,1,03,093,6,,500,88,2,,,2,,,,88,8888,2,,,,,,,,,,,,,2,,2,,000409.8028,
01,0086,012,00225,84,06,1,11,01,07,2015,1,01,093,6,,500,88,2,,,2,,,,88,8888,2,,,,,,,,,,,,,2,,2,,000409.8028,
