REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTMONTH,DTLEFTYEAR,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,RET,DTRETMON,DTRETYR,WORK1,OCUP1,DTEXPMON,DTEXPYR,WORK2,OCUP2,NOMONTH,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
13,74,1,4115,2,1,50,2,3,94,2,3,871,1,81,24,2,,,,,7,96,1,871,19,1,18000,1,,2,,0.415
13,74,1,4119,2,1,33,1,1,94,2,6,212,1,81,36,2,,,,,3,96,1,451,21,1,43000,4,,2,,0.415
13,74,1,4124,2,1,46,1,1,93,2,2,Z90,1,94,24,2,,,,,88,88,1,834,33,1,30000,1,,2,,0.415
13,74,1,4011,2,1,41,2,12,94,2,5,834,1,81,24,2,,,,,12,96,1,874,10,1,33000,1,,2,,0.415
13,74,1,4012,6,2,60,1,3,94,3,5,Z90,6,96,88,2,,,,,88,88,2,,,1,10000,4,,2,,0.415
13,74,1,4014,1,1,48,2,5,93,2,5,954,1,18,24,1,9,95,1,954,,,,,28,2,,,15000,1,9000,0.415
13,74,1,4014,4,2,26,1,6,95,2,4,Z20,1,18,24,2,,,,,6,97,1,541,4,1,10000,4,,2,,0.415
13,74,1,4014,3,2,20,2,7,95,1,5,451,4,52,6,2,,,,,1,96,1,172,3,1,7500,3,,2,,0.415
13,74,1,4015,3,2,20,1,11,90,1,3,793,1,10,12,1,12,91,1,531,,,,,13,2,,,,2,,0.415
13,74,1,4017,1,1,47,2,10,92,2,4,163,1,78,24,1,10,94,1,163,,,,,25,2,,,,2,,0.415
13,74,1,4020,1,1,33,2,11,94,2,5,834,1,81,24,2,,,,,88,88,1,834,11,2,,,,2,,0.415
13,74,1,4025,3,2,28,3,5,95,2,4,Z90,1,52,6,2,,,,,10,95,1,172,5,2,,,,2,,0.415
13,74,1,4028,1,1,36,1,7,93,2,5,959,1,57,10,1,4,94,1,855,,,,,8,2,,,,2,,0.415
13,74,1,3802,6,1,26,1,3,93,1,6,Z90,6,18,88,2,,,,,4,96,1,549,31,2,,,,2,,0.415
13,74,1,3802,6,2,22,1,3,93,1,5,Z90,6,18,88,2,,,,,4,96,2,,,2,,,,2,,0.415
13,74,1,3819,2,1,56,5,3,95,2,5,386,1,1,11,2,,,,,3,96,1,981,7,1,120000,1,,2,,0.415
13,74,1,4052,2,1,43,1,7,95,2,4,851,1,81,36,2,,,,,1,96,1,700,3,1,10000,1,,2,,0.415
13,74,1,4057,2,1,42,1,5,93,2,4,749,1,94,36,2,,,,,12,95,1,749,29,1,35773,4,,1,14500,0.415
13,74,1,4064,4,1,44,4,9,95,2,6,135,6,96,88,2,,,,,3,96,1,219,48,1,75000,4,,1,4500,0.415
13,74,1,3536,2,1,29,4,1,95,2,5,949,1,82,10,2,,,,,12,95,1,982,9,1,54000,1,,2,,0.415
13,74,1,3540,2,1,40,2,8,94,2,6,Z90,1,81,12,2,,,,,12,95,1,29,14,1,40000,1,,2,,0.415
13,74,1,3543,2,1,49,1,5,94,2,5,954,1,81,24,2,,,,,5,96,1,939,17,1,31000,1,,1,1000,0.415
13,74,1,3551,2,1,50,2,2,93,2,5,834,1,81,24,2,,,,,12,95,1,834,32,1,36000,1,,1,23000,0.415
13,74,1,3552,6,2,22,3,5,95,1,5,Z90,1,52,6,2,,,,,11,95,1,385,5,1,75000,1,,1,8000,0.415
13,74,1,3552,6,2,31,1,11,94,2,4,Z90,4,52,12,2,,,,,11,95,2,,,2,,,,2,,0.415
13,74,1,3846,3,2,29,1,10,90,1,6,329,1,96,2,2,,,,,1,96,1,329,65,1,30000,1,,2,,0.415
13,74,1,3856,2,1,37,2,5,95,2,4,954,1,81,12,2,,,,,5,96,1,951,5,1,30000,1,,1,5000,0.415
13,74,1,818,1,1,49,2,11,94,2,3,Z90,1,81,18,2,,,,,4,96,1,951,11,1,21000,1,,2,,0.436
13,74,1,819,1,1,40,1,11,92,2,6,700,1,18,10,1,9,93,1,981,,,,,9,2,,,,2,,0.436
13,74,1,861,1,1,69,2,2,95,2,2,589,1,96,24,2,,,,,3,96,1,589,7,1,14000,1,,2,,0.436
13,74,1,861,2,2,65,1,3,93,2,4,452,8,96,24,2,,,,,3,96,2,,,2,,,,2,,0.436
13,74,1,862,2,1,46,1,12,93,2,3,954,1,81,88,2,,,,,88,88,1,954,21,1,39000,1,,2,,0.436
13,74,1,862,3,2,21,1,9,94,1,4,Z90,1,52,6,1,3,95,1,179,,,,,5,2,,,,2,,0.436
