REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,GRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,55,1,1059,1,1,46,5,2,98,2,7,432,1,81,24,1,855,55,2,,,2,2000,1,120000,1,,2,,456.6818
1,55,1,1060,1,1,55,3,8,98,2,3,389,1,33,12,1,982,55,1,9,99,,,1,40000,1,40000,1,500,456.6818
1,55,2,1588,2,1,39,5,7,99,2,7,031,1,33,8,1,531,48,2,,,4,2000,1,73000,1,,2,,1319.2998
1,55,2,1601,3,2,25,1,8,97,1,4,759,1,39,36,1,541,25,2,,,8,2000,1,10000,4,,1,2300,1022.4856
1,55,2,1605,4,1,37,2,11,98,2,7,985,1,39,24,1,985,60,2,,,12,1999,1,11000,1,,2,,1022.4856
1,55,2,1605,3,2,32,1,5,97,1,6,067,1,39,24,1,541,60,2,,,5,2000,1,15000,4,,2,,1022.4856
1,55,1,1462,3,2,22,1,5,98,1,2,Z20,1,82,3,1,541,3,1,9,99,,,2,,,,2,,304.455
1,55,1,1469,2,2,37,2,2,96,2,7,Z20,1,39,12,1,541,24,1,12,97,,,2,,,,2,,365.3449
1,55,1,1469,1,1,33,1,2,98,2,2,611,1,89,12,1,949,10,2,,,12,1999,1,43000,1,,2,,365.3449
1,55,1,1472,2,2,31,1,2,99,2,7,136,1,82,24,1,541,7,2,,,2,2001,1,6000,4,,1,500,365.3449
1,55,1,1478,4,2,33,1,10,97,2,7,Z20,1,18,88,1,066,60,2,,,88,8888,1,17000,1,,2,,421.4914
1,55,1,1484,1,2,44,2,3,99,3,4,Z20,1,51,12,1,974,60,2,,,88,8888,1,10800,4,,2,,421.4914
1,55,1,1100,3,1,32,3,3,99,1,4,Z90,1,95,10,1,531,28,2,,,11,1999,1,54000,1,,2,,332.1323
1,55,1,1102,2,1,38,1,6,98,2,7,111,6,96,88,1,386,20,2,,,6,2000,1,80000,1,,2,,332.1323
1,55,1,1105,1,2,45,1,1,96,2,7,389,1,89,24,1,549,24,1,1,98,,,,,,,,,304.4544
1,55,1,1105,3,2,27,1,11,97,1,6,490,1,89,24,1,549,17,1,4,99,,,2,,,,2,,304.4544
1,55,1,1105,3,1,18,1,8,99,1,6,Z30,6,1,88,2,,,2,,,88,8888,2,,,,2,,304.4544
1,55,1,1105,3,2,13,1,8,99,1,2,Z30,6,1,88,2,,,2,,,88,8888,2,,,,2,,309.6007
1,55,1,1115,4,1,39,1,8,98,2,7,111,7,65,12,1,111,13,2,,,11,1999,1,66000,1,,1,2000,304.4544
1,55,1,1116,3,2,25,1,9,97,1,7,Z30,6,96,88,1,066,24,2,,,88,8888,1,120000,1,,2,,304.4544
1,55,1,1116,3,1,24,1,5,98,1,7,Z30,6,96,88,1,071,16,2,,,88,8888,2,,,,2,,304.4544
1,55,1,1124,3,2,32,2,10,98,3,2,799,1,81,36,1,071,16,2,,,88,8888,2,,,,2,,304.4551
1,55,1,1127,1,1,49,3,8,99,2,4,953,1,81,24,1,953,31,2,,,7,2001,1,20000,4,20000,1,2500,304.4551
1,55,2,1655,3,2,20,1,9,99,1,7,Z90,1,80,24,2,,,2,,,8,2001,2,,,,2,,1022.489
1,55,1,1069,3,1,27,2,9,98,1,6,621,1,52,12,1,982,24,1,9,99,,,1,12000,4,75000,2,,332.1321
1,55,1,1069,3,1,22,1,7,99,1,6,Z90,1,89,24,1,859,3,2,,,7,2001,1,12000,4,,2,,332.1321
1,55,1,1071,2,2,40,1,2,99,2,6,Z20,1,39,24,1,541,8,2,,,2,2001,1,9000,4,,2,,332.1321
1,55,2,1621,3,2,30,1,1,97,1,7,066,1,64,36,1,066,33,2,,,88,8888,1,8000,4,,2,,1124.7333
1,55,2,1630,3,2,23,1,11,96,1,6,Z20,1,82,36,1,541,35,2,,,6,2000,1,20000,4,,1,9800,1124.7333
1,55,1,1220,3,1,25,10,4,99,2,4,922,1,51,24,1,022,6,2,,,4,2001,1,43000,1,,2,,304.4543
1,55,1,1221,1,1,53,4,7,99,2,6,531,1,35,10,1,531,40,2,,,5,2000,1,7000,4,,2,,304.4543
1,55,1,1223,2,2,33,2,6,99,2,4,Z20,1,39,24,1,974,36,2,,,6,2001,1,20000,4,,2,,304.4543
1,55,1,1227,3,2,24,1,8,99,1,7,324,1,81,24,1,066,3,2,,,8,2001,2,,,,2,,286.142
1,55,1,1242,4,2,27,2,3,99,2,4,Z90,3,47,24,1,946,36,2,,,2,2001,1,40000,1,,2,,332.1322
1,55,1,1314,5,2,26,2,9,99,1,4,Z90,1,39,24,1,541,24,2,,,12,2000,1,20000,4,30000,1,3500,304.4543
1,55,1,1322,6,2,47,2,11,98,1,7,Z90,6,96,24,1,451,34,2,,,8,2000,1,19400,4,,2,,304.4543
1,55,1,1325,3,2,30,3,4,99,2,4,Z90,1,80,12,1,979,39,1,9,99,,,2,,,,2,,304.4543
1,55,1,1325,3,2,21,2,5,99,1,4,979,1,21,12,1,979,36,2,,,4,2000,1,26000,1,,1,8550,304.4543
1,55,1,1336,3,2,23,1,7,99,1,7,452,1,89,24,1,386,3,2,,,6,2001,1,20000,1,,2,,304.4544
1,55,1,1341,3,2,57,1,12,97,2,7,135,6,96,88,2,,,2,,,88,8888,1,28000,2,,2,,304.4544
1,55,1,1355,1,2,29,1,6,98,2,3,490,1,81,24,1,959,15,2,,,7,2000,1,28000,4,,2,,304.4544
1,55,1,1356,3,1,23,3,10,98,1,3,Z90,1,80,24,1,644,26,2,,,12,1999,1,24000,1,,2,,304.4544
1,55,1,1358,2,2,36,1,2,98,2,7,Z20,2,39,24,1,541,20,2,,,1,2000,1,30000,4,,2,,304.4544
1,55,1,1380,6,2,45,1,12,95,2,3,570,1,81,88,1,071,45,2,,,88,8888,1,42000,1,,2,,306.7615
1,55,1,1133,3,2,28,1,10,95,1,6,Z90,1,89,24,1,859,24,1,9,97,,,2,,,,2,,304.4547
1,55,2,1661,3,2,28,1,11,98,1,6,425,1,82,11,1,974,11,2,,,12,2001,1,10000,4,,2,,1022.4853
1,55,2,1668,6,2,30,1,4,98,1,6,Z20,1,89,11,1,974,11,1,4,99,,,1,5000,1,70000,1,2000,1022.4853
1,55,2,1841,3,2,22,3,7,99,1,4,622,1,82,12,1,974,48,2,,,12,2001,1,15000,4,38000,1,25800,895.8388
1,55,2,1845,2,2,36,2,3,98,2,4,622,1,81,88,1,974,54,2,,,12,2000,1,28500,1,,2,,895.8388
1,55,1,1141,1,1,52,1,8,96,2,7,031,1,81,12,1,031,10,1,8,97,,,2,,,,2,,332.132
1,55,1,1143,4,1,24,1,12,97,2,6,589,1,52,60,1,531,21,2,,,12,2002,1,72000,4,,1,3000,332.132
1,55,1,1145,3,1,24,3,4,99,1,6,Z90,1,95,9,1,981,27,2,,,1,2000,1,50000,1,,2,,332.132
1,55,1,1146,2,2,49,2,4,96,2,4,452,1,82,24,1,541,41,2,,,12,1999,1,30000,1,,2,,332.132
1,55,1,1160,3,2,24,1,3,98,2,7,Z90,6,96,88,1,322,18,2,,,88,8888,1,24000,1,,2,,332.1321
1,55,1,1162,2,1,30,5,6,99,2,7,Z90,1,96,9,1,981,60,2,,,3,2000,1,60000,1,,2,,332.1321
1,55,1,1166,3,2,34,4,7,98,1,7,Z90,1,999,1,1,599,7,2,,,88,8888,1,30000,4,,2,,363.3918
1,55,1,1178,2,2,42,5,99,99,2,7,066,1,81,12,1,066,60,2,,,8,2000,1,30400,1,8600,1,10050,304.4548
1,55,1,1188,3,2,28,1,1,99,2,6,323,1,39,9,1,974,9,2,,,12,1999,1,34000,1,,2,,304.4548
1,55,1,1260,4,2,34,6,5,98,2,4,490,1,21,11,1,981,40,1,5,99,,,2,,,,2,,304.4544
1,55,2,1709,3,2,27,1,10,95,1,7,Z90,1,82,60,1,541,60,2,,,5,2000,1,36000,1,,1,780,980.1461
1,55,2,1722,2,2,49,2,4,99,2,7,135,1,39,24,1,541,59,2,,,4,2001,1,20000,4,,2,,937.2789
1,55,1,1384,3,1,27,2,4,97,1,5,954,1,89,24,1,954,24,2,,,99,1999,1,8000,1,,2,,304.4542
1,55,1,1400,1,1,63,1,8,99,2,4,985,6,96,24,2,,,2,,,9,2001,2,,,,2,,308.3791
1,55,1,1400,2,2,48,1,8,99,2,4,Z20,6,96,24,2,,,2,,,9,2001,2,,,,2,,308.3791
1,55,1,1400,3,1,29,1,7,99,1,7,Z90,1,89,36,2,,,2,,,7,2002,2,,,,2,,308.3791
1,55,1,1401,1,1,77,1,12,95,2,4,Z90,6,96,88,2,,,2,,,88,8888,1,25200,1,,2,,308.3791
1,55,1,1408,2,2,47,2,2,97,2,6,452,1,51,12,1,541,19,1,12,98,,,2,,,,2,,304.4545
1,55,1,1412,2,1,47,6,4,99,2,6,Z90,3,96,12,1,853,55,2,,,4,2000,2,,,,1,6050,304.4545
1,55,1,1414,2,1,43,6,8,99,2,7,Z90,1,81,12,1,531,51,2,,,4,2000,1,23640,1,118200,1,104804,304.4545
1,55,1,1416,3,2,28,2,7,95,2,4,451,1,57,24,1,541,41,1,5,99,,,1,8000,4,20000,1,56500,304.4545
1,55,1,1428,2,1,51,2,99,99,2,4,Z90,1,81,24,1,954,48,2,,,9,2001,1,25000,4,60000,1,8000,304.4543
1,55,1,1446,1,1,54,3,6,98,2,6,322,1,81,24,1,381,60,2,,,12,1999,1,10000,4,,2,,326.7755
1,55,1,1452,3,2,26,1,8,99,1,6,532,1,89,24,1,859,2,2,,,7,2001,1,10000,4,,2,,326.7755
1,55,1,1196,1,1,36,2,7,98,2,7,022,1,81,24,1,022,48,2,,,88,8888,1,20000,1,,2,,426.7489
1,55,1,1265,1,2,41,1,10,97,1,3,759,1,39,24,1,541,24,2,,,11,1999,1,18000,1,,2,,304.455
1,55,1,1267,3,1,29,1,11,98,1,4,621,1,81,24,1,628,59,2,,,12,1999,1,8000,4,,2,,304.455
