RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ221C_CONSUM,RQ221P_CONSUM,RQ222C_INVEST,RQ222P_INVEST,RQ223C_SAVINGS,RQ223P_SAVINGS,RQ224C_OTHERS,RQ224P_OTHERS,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0055,002,00212,06,02,1,50,03,02,2009,2,68,834,1,400,21,1,834,38,2,,,11,2010,1,0049500,1,1,100,,,,,,,2,,1,0012000,000382.4545,1
01,0056,002,00212,07,03,2,27,01,06,2010,1,61,233,1,223,88,1,233,03,2,,,88,8888,1,0030000,5,1,100,,,,,,,2,,2,,000537.9219,1
01,0057,002,00212,07,03,2,40,02,01,2008,1,61,023,1,235,88,1,513,60,2,,,88,8888,1,0112500,1,1,100,,,,,,,2,,2,,000422.9502,1
01,0058,003,00219,07,05,2,41,01,04,2009,2,04,921,1,211,36,1,913,17,2,,,04,2012,1,0025000,1,1,030,2,030,3,040,,,2,,2,,000450.2373,1
01,0059,001,00222,01,01,1,45,02,04,2010,2,04,921,1,400,36,1,913,41,2,,,04,2013,2,,,,,,,,,,,1,0060000,1,0038000,000383.3244,1
01,0060,001,00222,04,03,1,28,01,11,2009,1,04,921,1,232,12,1,826,10,2,,,11,2010,1,0015000,1,1,060,,,3,040,,,2,,2,,000522.3442,1
01,0061,001,00222,03,02,2,45,02,06,2008,2,04,021,1,400,36,1,913,60,2,,,06,2011,1,0040000,1,1,040,2,060,,,,,2,,2,,000380.0853,1
01,0062,001,00222,01,01,1,33,03,01,2010,2,68,921,1,222,09,1,723,27,2,,,10,2010,1,0050000,2,1,040,2,050,3,010,,,2,,2,,000522.3442,1
01,0063,001,00222,05,02,2,32,01,10,2007,2,04,021,1,235,48,1,913,35,2,,,10,2011,1,0050000,1,1,040,2,060,,,,,2,,2,,000539.1454,1
01,0064,001,00222,03,03,1,32,01,11,2006,1,04,522,1,213,24,1,932,24,1,11,2008,,,2,,,,,,,,,,,2,,2,,000522.3442,2
01,0065,001,00222,06,05,2,32,01,08,2009,2,61,419,1,211,24,1,921,13,2,,,08,2011,1,0024000,1,1,040,2,060,,,,,2,,2,,000539.1454,1
01,0066,003,00227,02,02,2,33,01,06,2008,2,68,023,1,222,24,1,913,24,1,06,2010,,,2,,,,,,,,,,,1,0050000,2,,000612.1181,1
